Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
DE102022133524A1,DE,2023-06-22,Luftfahrzeugantriebssystem,"Ein Antriebssystem (4) für ein Luftfahrzeug (1) umfasst: ein oder mehrere Gasturbinentriebwerke (10, 44), die so angeordnet sind, dass sie einen Kraftstoff verbrennen, um das Luftfahrzeug (1) mit Energie zu versorgen; eine Vielzahl von Kraftstofftanks (50, 52, 53), die jeweils so angeordnet sind, dass sie einen Kraftstoff enthalten, der verwendet wird, um das Luftfahrzeug (1) mit Energie zu versorgen, wobei mindestens zwei Tanks der Vielzahl von Kraftstofftanks (50, 52, 53) unterschiedliche Kraftstoffe enthalten, wobei die unterschiedlichen Kraftstoffe unterschiedliche Anteile eines nachhaltigen Flugkraftstoffs aufweisen; und einen Kraftstoffmanager (214). Der Kraftstoffmanager (214) ist so eingerichtet, dass er Informationen über den in jedem Kraftstofftank (50, 52, 53) enthaltenen Kraftstoff speichert und die Kraftstoffzufuhr so steuert, dass er einen bestimmten Kraftstoff entsprechend auswählt, um zumindest den Großteil der Vorgänge am Boden zu betreiben. Der Kraftstoffmanager (214) kann zusätzlich feststellen, welcher Tank (52) den Kraftstoff mit dem höchsten Anteil eines nachhaltigen Flugkraftstoffs enthält; und dieser Kraftstoff kann verwendet werden, um zumindest den Großteil der Operationen am Boden zu betreiben.",SWANN PETER (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-15
DE102022133535A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1021) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F) für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1). Das Verfahren umfasst: das Aussetzen (1022) der Oberfläche einer Sensorkomponente, die aus einem Nitril-Dichtungsmaterial gebildet ist, dem Kraftstoff (F); das Messen (1023) eines Quellparameters des Dichtungsmaterials; und das Bestimmen (1024) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) basierend auf dem Quellparameter. Ebenfalls offenbart werden ein System (119) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-15
DE102022133677A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1014) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der zum Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist. Das Verfahren umfasst: Aussetzen (1015) der Oberfläche eines piezoelektrischen Kristalls dem Kraftstoff (F); Messen (1016) eines Schwingungsparameters des piezoelektrischen Kristalls; und Bestimmen (1017) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) basierend auf dem Schwingungsparameter. Ebenfalls offenbart sind ein System (114) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs und ein Luftfahrzeug.",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-16
DE102022133862A1,DE,2023-06-22,LEISTUNGSPARAMETER,"Die vorliegende Anmeldung offenbart ein Verfahren (1058) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) verwendet wird. Das Verfahren umfasst: Bestimmen (1059) eines oder mehrerer Leistungsparameter des Gasturbinentriebwerks (10) während eines ersten Betriebszeitraums des Gasturbinentriebwerks (10); und Bestimmen (1060) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) auf der Grundlage des einen oder der mehreren Leistungsparameter. Ein Verfahren zum Betreiben eines Luftfahrzeugs, ein System zur Bestimmung von Kraftstoffmerkmalen (155) und ein Luftfahrzeug (1) werden ebenfalls offenbart.",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-19
DE102022133870A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Ein Verfahren (1040) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der zum Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist, wird offenbart. Das Verfahren umfasst: Bestimmen (1041), während der Verwendung des Gasturbinentriebwerks (10), eines oder mehrerer Kraftstoffmerkmale, die sich auf die Bildung von Kondensstreifen durch das Gasturbinentriebwerk (10) beziehen, wobei das Bestimmen (1041) des einen oder der mehreren Kondensstreifenparameter das Durchführen (1042) einer Sensormessung in einem Bereich hinter dem Gasturbinentriebwerk umfasst, in dem ein Kondensstreifen gebildet wird oder gebildet werden kann; und Bestimmen (1043) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) auf der Grundlage des einen oder der mehreren Kondensstreifenparameter. Ein System (140) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betrieb eines Luftfahrzeugs und ein Luftfahrzeug (1) werden ebenfalls offenbart.",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-19
DE102022133874A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anwendung stellt ein Verfahren (1034) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F) bereit, der für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist. Das Verfahren umfasst: Durchleiten (1035) von Licht aus dem sichtbaren/UV Spektrum durch den Kraftstoff (F); Messen (1036) eines Transmissionsparameters, der die Lichtdurchlässigkeit des Kraftstoffs (F) anzeigt; Bestimmen (1037) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) auf der Grundlage des Transmissionsparameters; und Übermitteln (1038) des einen oder der mehreren Kraftstoffmerkmale an ein Steuermodul des Gasturbinentriebwerks oder des Luftfahrzeugs. Ebenfalls offenbart werden ein System (130) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betrieb eines Luftfahrzeugs (1) und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-19
DE102022134108A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1080) zur Erstellung eines Wartungsplans für ein Luftfahrzeug (1) mit einem oder mehreren Gasturbinentriebwerken (10), die mit einem Flugkraftstoff (F) betrieben werden. Das Verfahren umfasst: Bestimmen (1081) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F); und Erzeugen (1082) eines Wartungsplans gemäß dem einen oder den mehreren Kraftstoffmerkmalen. Ebenfalls offenbart werden ein Verfahren (1085) zur Wartung eines Luftfahrzeugs, ein System (160) zur Erstellung eines Wartungsplans und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-20
DE102022134117A1,DE,2023-06-22,ABGASGEHALT,"Die vorliegende Anmeldung offenbart ein Verfahren (1050) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist. Das Verfahren umfasst: Bestimmen (1051) eines oder mehrerer Abgasinhaltsparameter während des Betriebs des Gasturbinentriebwerks durch Durchführen (1052) einer Sensormessung an einem Abgas des Gasturbinentriebwerks (10); und Bestimmen (1053) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs auf der Grundlage des einen oder der mehreren Abgasparameter. Ebenfalls offenbart werden ein System (150) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-20
DE102023108845A1,DE,2023-10-12,ANTRIEBSSYSTEM FÜR EIN LUFTFAHRZEUG,"Ein Antriebssystem (2) für ein Luftfahrzeug (1) umfasst ein Gasturbinentriebwerk (10) und einen Kraftstofftank (50, 53), der so angeordnet ist, dass er Kraftstoff zum Antrieb des Gasturbinentriebwerks (10) speichert, wobei der gespeicherte Kraftstoff mindestens einen Anteil eines nachhaltigen Flugkraftstoffs - SAF - mit einer Dichte zwischen 90 % und 98 % der Dichte ρKvon Kerosin und einem Heizwert zwischen 101 % und 105 % des Heizwerts CVKvon Kerosin umfasst. Das Gasturbinentriebwerk (10) umfasst eine Brennkammer (16) und eine Kraftstoffpumpe (108), die so angeordnet ist, dass sie der Brennkammer (16) einen Kraftstoff mit einer Energiedurchflussrate C zuführt, wobei die Pumpe (108) so angeordnet ist, dass sie Kraftstoff mit einem Pumpenausgangs-Volumenstrom Q ausgibt, wobei der Prozentsatz des Kraftstoffs, der die Pumpe passiert und nicht der Brennkammer (16) zugeführt wird, als Überlaufquote bezeichnet wird. Der Kraftstoff enthält X% SAF, wobei X% im Bereich von 5% bis 100% liegt, und hat eine Dichte ρFund einen Heizwert CVF. Das Antriebssystem (2) ist so ausgebildet, dass:das Kraftstoffänderungs-Überlaufverhältnis, Rs, von:Rs=U¨berlaufquote bei Reiseflug unter Nutzung von KerosinU¨berlaufquote bei Reiseflug unter Nutzung von Kraftstoff mit X%SAFgleich ist zu:Q−(C(CVK×ρK))Q−(C(CVF×ρF)).",BEMMENT CRAIG W (GB); KEELER BENJAMIN J (GB); FERRA PAUL W (GB); HOBDAY ALASTAIR G (GB); MCNALLY KEVIN R (GB); MINELLI ANDREA (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2023-04-06
DE102023108850A1,DE,2023-10-12,KRAFTSTOFFMERKMALE,"Die vorliegende Anmeldung offenbart ein Verfahren (1002) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs, der zum Antrieb eines Gasturbinentriebwerks (10) eines Flugzeugs (1) geeignet ist, wobei das Verfahren umfasst: Bestimmen (1003) einer Masse eines Kraftstoffs, der in das Luftfahrzeug geladen wird oder geladen worden ist; Bestimmen (1004) eines entsprechenden Volumens des Kraftstoffs; Bestimmen (1005) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs auf der Grundlage der bestimmten Masse und des Volumens. Ebenfalls offenbart werden ein System (102) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betrieb eines Luftfahrzeugs (1) und ein Luftfahrzeug (1).",BEMMENT CRAIG W (GB); FERRA PAUL W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MCNALLY KEVIN R (GB); MINELLI ANDREA (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2023-04-06
