Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
EP3184611A1,EP,2017-06-28,AVIATION FUEL COMPOSITION,"The present invention relates to an aviation fuel composition comprising an aviation range fuel component and a diesel range fuel component originating from renewable sources, the diesel range fuel component having a cloud point of at most about -20°C and existent gum more than about 7 mg/ 100 ml, wherein existent gum of the aviation fuel composition is at most about 7 mg/100 ml.",SANDBERG KATI (FI); KIISKI ULLA (FI),"NESTE CORP (02150 Espoo, FI)",2015-12-21
WO/2017/108529A1,WIPO,2017-06-29,AVIATION FUEL COMPOSITION,"The present invention relates to an aviation fuel composition comprising an aviation range fuel component and a diesel range fuel component originating from renewable sources, the diesel range fuel component having a cloud point of at most about -20°C and existent gum more than about 7 mg/100 ml, wherein existent gum of the aviation fuel composition is at most about 7 mg/100 ml.",SANDBERG KATI (FI); KIISKI ULLA (FI),NESTE CORP (FI),2016-12-14
WO/2023/066738A1,WIPO,2023-04-27,AVIATION FUEL COMPOSITION,"This invention provides an aviation fuel composition comprising: a cycloparaffinic kerosene generated from hydropyrolysis and hydroconversion of a solid biomass containing lignocellulose, wherein the cycloparaffinic kerosene comprises at least 90 vol% cycloparaffins and less than 1 vol% aromatics; a paraffinic-based kerosene comprising normal and iso-paraffins in an amount of greater than 95%; and optionally, a petroleum-derived kerosene.The aviation fuel composition of the present invention provides an environmentally-friendly fuel while providing improved lubricity and low temperature viscosity properties.",VALENTICH GRIFFIN MICHAEL (US); MINER ELISE MARIE (US),SHELL INT RESEARCH (NL); SHELL USA INC (US),2022-10-12
EP3315591A1,EP,2018-05-02,ENERGY EFFICIENT LUBRICANT COMPOSITIONS,The present invention relates to an energy efficient lubricant concentrate comprising at least one alkoxylated polytetrahydrofuran and at least one ester of a dicarboxylic acid. The present invention further relates to the use of the lubricant concentrate in the lubricant compositions for reducing friction.,GEYER KAROLIN (DE); WEISS THOMAS (DE); KASHANI NAWID (DE); RITTIG FRANK (DE); GOYAL ARJUN K (DE); MA QUINGGAO PHILIP (DE); STRITTMATTER JAN (DE); SCHERER MARKUS (DE); RUEHLE THOMAS (DE); BALASUBRAMANIAM VASUDEVAN (US),"BASF SE (67056 Ludwigshafen am Rhein, DE)",2016-10-28
WO/2017/187291A1,WIPO,2017-11-02,GLOBAL DIGITAL ENERGY CURRENCY,"A System and method for generating a world currency using the kilowatt energy produced by Renewable energy power plants (REPP) where one kilowatt hour energy (kWh) is equivalent to one unit of the world currency called global digital energy currency (GDEC). To generate the GDEC, citizens and investors deposit their paper currency into system owned banks (SOBS) Which are processed by a central converting and accounting system (CCA) connected to the SOBS and the REPP. The CCA converts the paper currency of the citizens and investors into GDEC and distributes them to the electronic wallets (EW) of the citizens and investors to buy Goods and services so that the GDEC is transferred to new citizens who inherit the currency and Eventually spread the GDEC throughout the economy. The CCA uses and encrypted code to link the investors and the renewable energy power plant so that they are traceable.",JAMALI MAZLAGHANI ALI NAGHI (IR),ALI NAGHI JAMALI MAZLAGHANI (DE); JAMALI MAZLAGHANI ALI NAGHI (DE),2017-04-17
WO/2004/043783A1,WIPO,2004-05-27,PERSONAL FLIGHT VEHICLE,An electric-energy lifting panel levitates a user secured to the electric-energy lifting panel. The electric-energy lifting panel (104) includes a first capacitive plate (106) and a second capacitive plate (108) having different geometric dimensions to generate a net-directional force. An ion conditioner (122) ion enhances air around the first capacitive plate and the second capacitive plate.,REDMOND SCOTT D (US),SCOTT REDMOND (US); REDMOND SCOTT D (US),2003-11-12
WO/2002/023025A1,WIPO,2002-03-21,DIESEL INTERNAL COMBUSTION ENGINE,"An internal combustion engine, preferably diesel, has at least two cylinders (10) and two drive shafts (11a, 11b), each cylinder having two opposed pistons (13) therein, with piston heads (13a, 13b) facing each other and piston rods of the pistons are coupled to the drive shaft or shafts through respective opposed cams (12a, 12b) and roller or slider arrangements. The opposed cams are profiled (23) such as to ensure that the opposed pistons are held at the top dead centre position until combustion is substantially complete. The opposed cams are also profiled such as to ensure that each cylinder as scavenged by more than itas own volume of air and such as to ensure that the exhaust ports close before the inlet ports, thereby ensuring that full supercharger or turbocharger pressure is achieved within the cylinder prior to compression. The pistons and rollers or sliders are fitted with lubrication channels to ensure that friction is reduced.",FAIRNEY WILLIAM (GB),FAIRDIESEL LTD (GB); FAIRNEY WILLIAM (GB),2001-09-13
WO/2014/200916A1,WIPO,2014-12-18,POLARITY REVERSAL ELECTROLYSIS,"A process, apparatus and compositions for the preparation of decarboxylated derivatives of carboxylic acids which comprises performing polarity reversing electrolysis using an anode and a cathode on a solution of a carboxylic acid containing more than one carbon atom or salt of carboxylic acid or carboxylic acid ester or other derivative or precursor thereof, to decarboxylat said carboxylic acid or derivative and produce decarboxylated derivatives is described. More generally, the invention has utility in treating reactants that can undergo oxidation and reduction on changing polarity electrode surfaces to produce products different from direct electrolysis. The invention also has utility in the conversion of organic cations, radicals and anions such as carboxylic acids, fatty acids, alcohols, phenols, to renewable fuels, production of chemicals useful as chemicals and pharmaceuticals and producing alkanes, alkenes, hydrocarbon ethers, alkyl-aryl hydrocarbons, alcohols and hydrocarbon esters.",AZAD ABDUL R M (US),AZAD ABDUL R M (US),2014-06-09
WO/2014/163586A1,WIPO,2014-10-09,MOLTEN METAL GASIFIER,Apparatus to generate syngas from a feed using a melt contained in a gasifier. The melt is formed by electric inductive heating using one or more induction coil. The induction coil is supplied with single phase power supplied from a generator. The generator is connected to an electric motor (three phase). This provides sufficient electrical isolation during operation of the gasifier.,GUEH HOW KIAP (SG),GUEH HOW KIAP (SG),2014-04-03
WO/2022/106840A1,WIPO,2022-05-27,AN INTERNAL COMBUSTION ENGINE,"An internal combustion engine comprises a cylinder and a piston arranged to reciprocate within the cylinder. A fuel supply inlet is also provided, and an air inlet port is located in the side wall of the cylinder that supplies air to the combustion chamber and the piston. The reciprocating movement of the piston within the cylinder opens and closes the inlet port. An exhaust port is provided with an exhaust port closure for opening and closing the exhaust port. A secondary outlet valve opens and closes a secondary outlet port. A recirculation channel connects the secondary outlet port to the inlet port downstream to recirculate gas from the combustion chamber to the inlet port when the secondary outlet valve is open. A flow control means is arranged to prevent the reverse flow of gas from the recirculation channel into the cylinder via the recirculation port when the inlet port inlet port, exhaust port and recirculation ports are all open.",WARBURTON ADAM (AU),WARBURTON ADAM (AU),2021-11-19
EP3548377B1,EP,2021-08-04,ELECTRICAL VERTICAL TAKE-OFF AND LANDING AIRCRAFT,"Electrically powered Vertical Take-off and Landing (VTOL) aircraft are presented. Contemplated VTOL aircraft can include one or more electrical energy stores capable of delivering electrical power to one or more electric motors disposed within one or more propeller housings, where the motors can drive the propellers. The VTOL aircraft can also include one or more back-up and/or secondary energy/power sources (e.g., batteries, engines, generators, fuel-cells, semi-cells, etc.) capable of driving the motors should the energy stores fail or deplete. The VTOL aircraft will be significantly different to regular Tiltrotor aircraft as we use propellers and a modern steering system that reduces complicity dramatically. The contemplated configurations address safety, noise, and hover stability and outwash concerns to allow such designs to operate in built-up areas while retaining competitive performance relative to existing aircraft.",DEMONT SÉBASTIEN (CH); PFAMMATTER THOMAS (CH); STEFFEN DOMINIQUE (CH),"PFAMMATTER THOMAS (3930 Visp, CH); STEFFEN DOMINIQUE (3900 Brig, CH)",2017-11-27
WO/2006/118922A2,WIPO,2006-11-09,PHOTOLUMINESCENT (PL) APPLICATIONS ON MOVEABLE EQUIPMENT,"The present invention provides methods and systems for moveable pieces of equipment
comprising a passively charged photoluminescent material to improve visibility
of the equipment in low light conditions. This moveable piece of equipment may
be a piece of ground support equipment such as that used in support of an operation.
Further, these operations may include, for example, nautical operations (e.g.,
Naval operations or ocean-going cargo transportation), construction of a structure
(e.g., building construction), aviation (i.e., flight) operations (e.g.,
in support of an airport), transportation of goods (e.g., via rail or truck),
drilling operations (e.g., drilling for oil, water, gas or explosives), mining
operations, oil processing (refinery) operations etc.",JONES JOSEPH BACHIR (US),DEFENSE HOLDINGS INC (US); JONES JOSEPH BACHIR (US),2006-04-27
WO/2014/132230A1,WIPO,2014-09-04,MOLTEN METAL GASIFIER,"An apparatus for gasification of at least one feed fuel material containing carbon into syngas, under a total pressure which exceeds atmospheric pressure comprises a crucible means for containing molten metal, said crucible including injection means for injecting at least one feed fuel material, oxidant gas, or a combination thereof, beneath the surface of the molten metal, an exhaust pipe connected to said crucible means for discharge of syngas therefrom, cooling means for cooling said syngas connected to said exhaust pipe to form a sealed unit with said crucible means, and tapping means for discharge of slag from said crucible means.",GUEH HOW KIAP (SG),GUEH HOW KIAP (SG),2014-02-28
WO/2023/094051A1,WIPO,2023-06-01,METHOD FOR CONDITIONING AN ELECTROCHEMICAL CELL UNIT,"The invention relates to a method for conditioning an electrochemical cell unit (53) before putting the electrochemical cell unit (53) into operation for converting electrochemical energy into electrical energy as a fuel cell unit (1) and/or for converting electrical energy into electrochemical energy as an electrolytic cell unit (49) having stacked electrochemical cells (52), and channels for conducting a fuel and/or an electrolyte and channels for conducting an oxidising agent and/or an electrolyte being formed in the electrochemical cell unit (53), the method having the steps of: providing a conditioning fluid; and conducting the conditioning fluid through the channels (12) for fuel and/or electrolytes and/or conducting the conditioning fluid through the channels (13) for oxidising agents and/or electrolytes, wherein, during at least 50% of the duration of the method for conditioning the electrochemical cell unit (53), hydrogen is conducted as the conditioning fluid through the channels (13) for oxidising agents and/or electrolytes.",MARINO MICHAEL GIUSEPPE (DE); DRILLKENS JULIA (DE); RINGEL ANTON (DE); HACKENBERG JUERGEN (DE),BOSCH GMBH ROBERT (DE),2022-09-27
US20190002778,US,01/03/2019,AVIATION FUEL COMPOSITION,"The present invention relates to an aviation fuel composition comprising an aviation range fuel component and a diesel range fuel component originating from renewable sources, the diesel range fuel component having a cloud point of at most about −20° C. and existent gum more than about 7 mg/100 ml, wherein existent gum of the aviation fuel composition is at most about 7 mg/100 ml.","Sandberg, Kati (Järvenpää, FI)                
                            Kiiski, Ulla (Porvoo, FI)","Neste Corporation (Espoo, FI)",12/14/2016
US20230313701,US,10/05/2023,CONTRAIL PARAMETERS,"A method of determining one or more fuel characteristic of an aviation fuel suitable for powering a gas turbine engine of an aircraft is disclosed. The method includes: determining, during use of the gas turbine engine, one or more contrail parameters related to contrail formation by the gas turbine engine. The determining of the one or more contrail parameters includes performing a sensor measurement on a region behind the gas turbine engine in which a contrail is or can be formed. The method also includes determining one or more fuel characteristics of the fuel based on the one or more contrail parameters. A fuel characteristic determination system, a method of operating an aircraft and an aircraft are also disclosed.","Swann, Peter (Derby, GB)                
                            Beaven, David M. (Nottingham, GB)                
                            Bemment, Craig W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Keeler, Benjamin J. (Derby, GB)                
                            Madden, Christopher P. (Derby, GB)                
                            Yates, Martin K. (East Haddon, GB)","ROLLS-ROYCE plc (London, GB)",06/02/2023
5240759,US,08/31/1993,Aircraft fuel mat,"A mat for protecting the surfaces of equipment from scratching, denting, and chemical action during servicing, particularly well suit for the surfaces of an aircraft during a refueling operation. The mat closely conforms to the surface shape of the aircraft wing and does and cannot be readily moved or damage during use. The mat preferably includes one or more depressions for containing spills fuel and/or accommodating tools and other servicing items and equipment.","Layton, Charles B. (Columbus, GA)",LAYTON; CHARLES B.,06/17/1991
US20230282848,US,09/07/2023,MODULAR FUEL CELL ASSEMBLY,"A propulsion system is provided including: a gas turbine engine including a combustion section having a combustor; and a modular fuel cell assembly. The modular fuel cell assembly includes: a first fuel cell string comprising a first processing unit and a first fuel cell stack, the first fuel cell stack comprising a first fuel cell defining an outlet configured to provide output products from the first fuel cell to the combustor; and a second fuel cell string comprising a second processing unit and a second fuel cell stack, the second fuel cell stack comprising a second fuel cell defining an outlet configured to provide output products from the second fuel cell to the combustor.","Wang, Honggang (Clifton Park, NY, US)                
                            Potyrailo, Radislav A. (Niskayuna, NY, US)                
                            Benjamin, Michael Anthony (Cincinnati, OH, US)","General Electric Company (Schenectady, NY, US)",02/21/2022
US20080127551,US,06/05/2008,Hypergolic Liquid Or Gel Fuel Mixtures,"Hypergolic liquid or gel fuel mixtures utilized in bipropellant propulsion systems are disclosed as replacements for fuels containing toxic mono-methylhydrazine. The fuel mixtures include one or more amine azides mixed with one or more tertiary diamine, tri-amine or tetra-amine compounds. The fuel mixtures include N,N,N′,N′-tetramethylethylenediamine (TMEDA) mixed with 2-N,N-dimethylaminoethylazide (DMAZ), TMEDA mixed with tris(2-azidoethyl)amine (TAEA), and TMEDA mixed with one or more cyclic amine azides. Each hypergolic fuel mixture provides a reduced ignition delay for combining with an oxidant in fuel propellant systems. The fuel mixtures have advantages in reduced ignition delay times compared to ignition delay times for each unmixed component, providing a synergistic effect which was not predictable from review of each component's composition. Additional fuel mixtures include various tertiary diamine, tertiary tri-amine or tetra-amine compounds combined with one or more amine azides or imidic amide compounds, to provide clean burning, high performing, and non-toxic fuels.","Stevenson III, William H. (Huntsville, AL, US)                
                            Felton, Lashanda D. (Huntsville, AL, US)                
                            Slocum-wang, Zhu (Huntsville, AL, US)","United States of America, represented by Secretary of the U.S. Army (Washington, DC, US)",11/30/2006
US20110272071,US,11/10/2011,Hypergolic Liquid Or Gel Fuel Mixtures,"Hypergolic liquid or gel fuel mixtures utilized in bipropellant propulsion systems are disclosed as replacements for fuels containing toxic monomethylhydrazine. The fuel mixtures include one or more amine azides mixed with one or more tertiary diamine, tri-amine or tetra-amine compounds. The fuel mixtures include N,N,N′,N′-tetramethylethylenediamine (TMEDA) mixed with 2-N,N-dimethylaminoethylazide (DMAZ), TMEDA mixed with tris(2-azidoethyl)amine (TAEA), and TMEDA mixed with one or more cyclic amine azides. Each hypergolic fuel mixture provides a reduced ignition delay for combining with an oxidant in fuel propellant systems. The fuel mixtures have advantages in reduced ignition delay times compared to ignition delay times for each unmixed component, providing a synergistic effect which was not predictable from review of each component's composition. Additional fuel mixtures include various tertiary diamine, tertiary tri-amine or tetra-amine compounds combined with one or more amine azides or imidic amide compounds, to provide clean burning, high performing, and non-toxic fuels.","Stevenson III, William H. (Huntsville, AL, US)                
                            Felton, Lashanda D. (Huntsville, AL, US)                
                            Slocum-wang, Zhu (Huntsville, AL, US)","The United States of America as represented by the Secretary of the Army (Washington, DC, US)",07/25/2011
US20230369617,US,11/16/2023,ENVIRONMENTAL CONTROL SYSTEM HAVING A FUEL CELL ASSEMBLY,"An environmental control system assembly for an aircraft is provided. The assembly includes: an environmental control system; a fuel cell assembly in electrical communication with the environmental control system for providing electrical power to the environmental control system; and a controller operably connected to the fuel cell assembly, the controller operable to modulate an amount of power generated by the fuel cell assembly and provided to the environmental control system based on load forecasting data from an ECS load forecasting module of the controller.","Wang, Honggang (Clifton Park, NY, US)                
                            Bose, Sumit (Niskayuna, NY, US)","General Electric Company (Schenedctady, NY, US)",05/16/2022
8435364,US,05/07/2013,Hypergolic liquid or gel fuel mixtures,"Hypergolic liquid or gel fuel mixtures utilized in bipropellant propulsion systems are disclosed as replacements for fuels containing toxic monomethylhydrazine. The fuel mixtures include one or more amine azides mixed with one or more tertiary diamine, tri-amine or tetra-amine compounds. The fuel mixtures include N,N,N′,N′-tetramethylethylenediamine (TMEDA) mixed with 2-N,N-dimethylaminoethylazide (DMAZ), TMEDA mixed with tris(2-azidoethyl)amine (TAEA), and TMEDA mixed with one or more cyclic amine azides. Each hypergolic fuel mixture provides a reduced ignition delay for combining with an oxidant in fuel propellant systems. The fuel mixtures have advantages in reduced ignition delay times compared to ignition delay times for each unmixed component, providing a synergistic effect which was not predictable from review of each component's composition. Additional fuel mixtures include various tertiary diamine, tertiary tri-amine or tetra-amine compounds combined with one or more amine azides or imidic amide compounds, to provide clean burning, high performing, and non-toxic fuels.","Stevenson III, William H. (Huntsville, AL, US)                
                            Felton, Lashanda D. (Huntsville, AL, US)                
                            Slocum-wang, Zhu (Huntsville, AL, US)","The United States of America as represented by the Secretary of the Army (Washington, DC, US)",07/25/2011
US20180191011,US,07/05/2018,FUEL CELL EMERGENCY POWER SYSTEM,"A method and system (60) for generating emergency power includes a hydrogen storage system (62) configured to supply hydrogen gas, an air delivery system (64) configured to supply air at a predetermined temperature, and a fuel cell system (66) coupled with the hydrogen storage system and the air delivery system and configured to generate power at a power output from a chemical reaction involving the hydrogen gas and the air at the predetermined temperature.","Halsey, Colin John (Tewkesbury, GB)","GE Aviation Systems Limited (Cheltenham, Gloucestershire, GB)",06/28/2016
