Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
11643979,US,05/09/2023,Aircraft fuel system for gas turbine engine,"A propulsion system for an aircraft includes a gas turbine engine and a fuel tank, wherein the fuel includes at least a proportion of a sustainable aviation fuel—SAF—having a density between 90% and 98% of the density, ρK, of kerosene and a calorific value between 101% and 105% the calorific value CVK, of kerosene. The engine includes a combustor; and a fuel pump arranged to supply a fuel thereto at an energy flow rate, C, the pump being arranged to output fuel at a volumetric flow rate, Q, the percentage of fuel passing through the pump not provided to the combustor being referred to as a spill percentage. The fuel include X % SAF, where X % is in the range from 5% to 100%, and has a density, ρF, and a calorific value CVF. The propulsion system is arranged so:



the fuel-change spill ratio, Rs, of:









R
s

=


spill
⁢
 
percentage
⁢
 
at
⁢
 
cruise
⁢
 
using
⁢
 
kerosene


spill
⁢
 
percentage
⁢
 
at
⁢
 
cruise
⁢
 
using
⁢
 
the
⁢
 
fuel
⁢
 
with
⁢
 
X
⁢
 
%
⁢
 
S
⁢
A
⁢
F








is equal to:










Q
-

(

C
/

(


CV
K

×

ρ
K


)


)



Q
-

(

C
/

(


CV
F

×

ρ
F


)


)



.","Bemment, Craig W. (Derby, GB)                
                            Keeler, Benjamin J. (Derby, GB)                
                            Ferra, Paul W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Mcnally, Kevin R. (Derby, GB)                
                            Minelli, Andrea (Derby, GB)                
                            Yates, Martin K. (Northamptonshire, GB)","ROLLS-ROYCE plc (London, GB)",06/29/2022
11236280,US,02/01/2022,"Biorenewable kerosene, jet fuel, jet fuel blendstock, and method of manufacturing","The present technology provides compositions that include at least about 98 weight percent (“wt %”) n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least about 98 wt % C7-C12 n-paraffins, where at least about 10 wt % of composition includes n-decane, at least about 20 wt % of the composition includes n-dodecane, and at least about 75 wt % of the composition includes even carbon number paraffins. The composition also includes less about 0.1 wt % oxygenates and less than about 0.1 wt % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.","Abhari, Ramin (Bixby, OK, US)                
                            Slade, David A. (Ames, IA, US)                
                            Tomlinson, Lynn H. (Tulsa, OK, US)                
                            Ashby, Erik (S. San Francisco, CA, US)                
                            Green, Nate (Ames, IA, US)                
                            Golden, Caroline (Baton Rouge, LA, US)","REG SYNTHETIC FUELS, LLC (Ames, IA, US)",05/11/2021
10246658,US,04/02/2019,"Biorenewable kerosene, jet fuel, jet fuel blendstock, and method of manufacturing","The present technology provides compositions that include at least about 98 weight percent (wt. %) n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least 98 wt. % C7-C12 n-paraffins, where at least 10 wt. % of composition includes n-decane, at least 20 wt. % of the composition includes n-dodecane, and at least 75 wt. % of the composition includes even carbon number paraffins. The composition also includes less than 0.1 wt. % oxygenates and less than 0.1 wt. % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.","Abhari, Ramin (Bixby, OK, US)                
                            Slade, David A. (Ames, IA, US)                
                            Tomlinson, Lynn H. (Tulsa, OK, US)                
                            Ashby, Erik (S. San Francisco, CA, US)                
                            Green, Nate (Ames, IA, US)                
                            Golden, Caroline (Baton Rouge, LA, US)","REG SYNTHETIC FUELS, LLC (Ames, IA, US)",05/10/2017
11555456,US,01/17/2023,Fuel delivery system and method,"A method of operating a fuel delivery system of an aircraft engine of an aircraft includes operating the aircraft engine in a standby mode by maintaining combustion in a combustor of the aircraft engine by supplying fuel to the combustor via a first set of fuel nozzles of a first fuel manifold while providing a trickle flow of fuel via a second set of fuel nozzles of a second fuel manifold into the combustor during engine operation, the trickle flow being defined as a fuel flow rate selected to prevent flame-out of the combustion while providing one of: substantially no motive power to the aircraft, and no motive power to the aircraft, via the combustion of the trickle flow of fuel. An aircraft gas turbine engine is also described.","Morenko, Oleg (Oakville, CA)                
                            Kojovic, Aleksandar (Oakville, CA)                
                            Verhiel, Jeffrey Richard (Mono, CA)","PRATT & WHITNEY CANADA CORP. (Longueuil, CA)",11/01/2019
6024074,US,02/15/2000,Refrigerated fuel for engines,"A method of fueling an engine (92) of a vehicle having a fuel storage tank (70) is accomplished by providing a liquid fuel for fueling the engine (92). The fuel is cooled to reduced temperatures substantially less than ambient temperature so that the volume of the fuel is reduced. The fuel is stored in the storage tank (70) while the fuel is at the reduced temperatures, with the reduced volume of the fuel thereby allowing more fuel to be held in the storage tank (70) and/or increasing the energy value of the fuel per unit volume. The fuel may be transferred from the storage tank (70) to the engine (92) while the fuel is at the reduced temperatures. The fuel may be cooled using either liquid nitrogen (76), or conventional mechanical refrigeration equipment (150).","Koethe, Terence Lee (Keller, TX)","Fuel, Dynamics (Keller, TX)",06/17/1997
11001774,US,05/11/2021,"Biorenewable kerosene, jet fuel, jet fuel blendstock, and method of manufacturing","The present technology provides compositions that include at least about 98 weight percent (“wt %”) n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least about 98 wt % C7-C12 n-paraffins, where at least about 10 wt % of composition includes n-decane, at least about 20 wt % of the composition includes n-dodecane, and at least about 75 wt % of the composition includes even carbon number paraffins. The composition also includes less about 0.1 wt % oxygenates and less than about 0.1 wt % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.","Abhari, Ramin (Bixby, OK, US)                
                            Slade, David A. (Ames, IA, US)                
                            Tomlinson, Lynn H. (Tulsa, OK, US)                
                            Ashby, Erik (S. San Francisco, CA, US)                
                            Green, Nate (Ames, IA, US)                
                            Golden, Caroline (Baton Rouge, LA, US)","REG SYNTHETIC FUELS, LLC (Ames, IA, US)",02/25/2019
10307708,US,06/04/2019,Fuel tank system and method,"A fuel tank system is disclosed that includes a fuel tank and a first fluid flow path between a gas space in the fuel tank and outside of the fuel system. A gas separation membrane is disposed with a first side in communication with the first fluid flow path and a second side in communication with a second fluid flow path. A fluid control device is in communication with the second fluid flow path and is configured to provide fluid flow from the second fluid flow path to a liquid space in the fuel tank or to outside of the fuel system. A prime mover is disposed in communication with the second fluid flow path, and is configured to move fluid on the second fluid flow path from the second side of the separation membrane to the fuel tank liquid space or to outside of the fuel system.","Rheaume, Jonathan (West Hartford, CT, US)                
                            Cordatos, Haralambos (Colchester, CT, US)","HAMILTON SUNDSTRAND CORPORATION (Windsor Locks, CT, US)",06/24/2016
11434439,US,09/06/2022,Environment-friendly marine fuel,"For the shipping industry, these fuels provide solutions to long outstanding technical problems that heretofore hindered supply of low sulfur marine fuels in quantities needed to meet worldwide sulfur reduction goals. Marine shipping use of high sulfur bunker oils is reported as largest source of world-wide transportation SOx emissions. When ships on the open seas burn cheap low grade heavy bunker oils high in sulfur, nitrogen and metals, the SOx, NOx, and metal oxides go to the environment. This invention converts essentially all of each barrel of crude feed to a single ultraclean fuel versus conventional refining where crude feed is cut into many pieces, and each piece is sent down a separate market path meeting various different product specifications. When in port, ships can use these fuels to generate and sell electricity to land based electrical grids to offset fuel cost in an environment-friendly manner.","Wohaibi, Mohammed (Nacogdoches, TX, US)                
                            Pruitt, Tom F. (Nacogdoches, TX, US)","MAWETAL LLC (Nacogdoches, TX, US)",12/31/2019
11441086,US,09/13/2022,Environment-friendly marine fuel,"For the shipping industry, these fuels provide solutions to long outstanding technical problems that heretofore hindered supply of low sulfur marine fuels in quantities needed to meet worldwide sulfur reduction goals. Marine shipping use of high sulfur bunker oils is reported as largest source of worldwide transportation SOx emissions. When ships on the open seas burn cheap low grade heavy bunker oils high in sulfur, nitrogen and metals, the SOx, NOx, and metal oxides go to the environment. This invention converts essentially all of each barrel of crude feed to a single ultraclean fuel versus conventional refining where crude feed is cut into many pieces, and each piece is sent down a separate market path meeting various different product specifications. When in port, ships can use these fuels to generate and sell electricity to land based electrical grids to offset fuel cost in an environment-friendly manner.","Wohaibi, Mohammed (Nacogdoches, TX, US)                
                            Pruitt, Tom F. (Nacogdoches, TX, US)","MAWETAL LLC (Nacogdoches, TX, US)",12/31/2019
10920160,US,02/16/2021,Environment-friendly marine fuel,"For the shipping industry, these fuels provide solutions to long outstanding technical problems that heretofore hindered supply of low sulfur marine fuels in quantities needed to meet worldwide sulfur reduction goals. Marine shipping use of high sulfur bunker oils is reported as largest source of worldwide transportation SOx emissions. When ships on the open seas burn cheap low grade heavy bunker oils high in sulfur, nitrogen and metals, the SOx, NOx, and metal oxides go to the environment. This invention converts essentially all of each barrel of crude feed to a single ultraclean fuel versus conventional refining where crude feed is cut into many pieces, and each piece is sent down a separate market path meeting various different product specifications. When in port, ships can use these fuels to generate and sell electricity to land based electrical grids to offset fuel cost in an environment-friendly manner.","Wohaibi, Mohammed (Nacogdoches, TX, US)                
                            Pruitt, Tom F. (Nacogdoches, TX, US)","MAWETAL LLC (Nacogdoches, TX, US)",12/31/2019
