Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
DE102022133524A1,DE,2023-06-22,Luftfahrzeugantriebssystem,"Ein Antriebssystem (4) für ein Luftfahrzeug (1) umfasst: ein oder mehrere Gasturbinentriebwerke (10, 44), die so angeordnet sind, dass sie einen Kraftstoff verbrennen, um das Luftfahrzeug (1) mit Energie zu versorgen; eine Vielzahl von Kraftstofftanks (50, 52, 53), die jeweils so angeordnet sind, dass sie einen Kraftstoff enthalten, der verwendet wird, um das Luftfahrzeug (1) mit Energie zu versorgen, wobei mindestens zwei Tanks der Vielzahl von Kraftstofftanks (50, 52, 53) unterschiedliche Kraftstoffe enthalten, wobei die unterschiedlichen Kraftstoffe unterschiedliche Anteile eines nachhaltigen Flugkraftstoffs aufweisen; und einen Kraftstoffmanager (214). Der Kraftstoffmanager (214) ist so eingerichtet, dass er Informationen über den in jedem Kraftstofftank (50, 52, 53) enthaltenen Kraftstoff speichert und die Kraftstoffzufuhr so steuert, dass er einen bestimmten Kraftstoff entsprechend auswählt, um zumindest den Großteil der Vorgänge am Boden zu betreiben. Der Kraftstoffmanager (214) kann zusätzlich feststellen, welcher Tank (52) den Kraftstoff mit dem höchsten Anteil eines nachhaltigen Flugkraftstoffs enthält; und dieser Kraftstoff kann verwendet werden, um zumindest den Großteil der Operationen am Boden zu betreiben.",SWANN PETER (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-15
DE102022133535A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1021) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F) für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1). Das Verfahren umfasst: das Aussetzen (1022) der Oberfläche einer Sensorkomponente, die aus einem Nitril-Dichtungsmaterial gebildet ist, dem Kraftstoff (F); das Messen (1023) eines Quellparameters des Dichtungsmaterials; und das Bestimmen (1024) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) basierend auf dem Quellparameter. Ebenfalls offenbart werden ein System (119) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-15
DE102022133677A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1014) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der zum Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist. Das Verfahren umfasst: Aussetzen (1015) der Oberfläche eines piezoelektrischen Kristalls dem Kraftstoff (F); Messen (1016) eines Schwingungsparameters des piezoelektrischen Kristalls; und Bestimmen (1017) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) basierend auf dem Schwingungsparameter. Ebenfalls offenbart sind ein System (114) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs und ein Luftfahrzeug.",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-16
DE102022133870A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Ein Verfahren (1040) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der zum Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist, wird offenbart. Das Verfahren umfasst: Bestimmen (1041), während der Verwendung des Gasturbinentriebwerks (10), eines oder mehrerer Kraftstoffmerkmale, die sich auf die Bildung von Kondensstreifen durch das Gasturbinentriebwerk (10) beziehen, wobei das Bestimmen (1041) des einen oder der mehreren Kondensstreifenparameter das Durchführen (1042) einer Sensormessung in einem Bereich hinter dem Gasturbinentriebwerk umfasst, in dem ein Kondensstreifen gebildet wird oder gebildet werden kann; und Bestimmen (1043) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) auf der Grundlage des einen oder der mehreren Kondensstreifenparameter. Ein System (140) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betrieb eines Luftfahrzeugs und ein Luftfahrzeug (1) werden ebenfalls offenbart.",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-19
DE102022133874A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anwendung stellt ein Verfahren (1034) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F) bereit, der für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist. Das Verfahren umfasst: Durchleiten (1035) von Licht aus dem sichtbaren/UV Spektrum durch den Kraftstoff (F); Messen (1036) eines Transmissionsparameters, der die Lichtdurchlässigkeit des Kraftstoffs (F) anzeigt; Bestimmen (1037) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) auf der Grundlage des Transmissionsparameters; und Übermitteln (1038) des einen oder der mehreren Kraftstoffmerkmale an ein Steuermodul des Gasturbinentriebwerks oder des Luftfahrzeugs. Ebenfalls offenbart werden ein System (130) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betrieb eines Luftfahrzeugs (1) und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-19
DE102022134108A1,DE,2023-06-22,BESTIMMUNG VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1080) zur Erstellung eines Wartungsplans für ein Luftfahrzeug (1) mit einem oder mehreren Gasturbinentriebwerken (10), die mit einem Flugkraftstoff (F) betrieben werden. Das Verfahren umfasst: Bestimmen (1081) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F); und Erzeugen (1082) eines Wartungsplans gemäß dem einen oder den mehreren Kraftstoffmerkmalen. Ebenfalls offenbart werden ein Verfahren (1085) zur Wartung eines Luftfahrzeugs, ein System (160) zur Erstellung eines Wartungsplans und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-20
DE102023108845A1,DE,2023-10-12,ANTRIEBSSYSTEM FÜR EIN LUFTFAHRZEUG,"Ein Antriebssystem (2) für ein Luftfahrzeug (1) umfasst ein Gasturbinentriebwerk (10) und einen Kraftstofftank (50, 53), der so angeordnet ist, dass er Kraftstoff zum Antrieb des Gasturbinentriebwerks (10) speichert, wobei der gespeicherte Kraftstoff mindestens einen Anteil eines nachhaltigen Flugkraftstoffs - SAF - mit einer Dichte zwischen 90 % und 98 % der Dichte ρKvon Kerosin und einem Heizwert zwischen 101 % und 105 % des Heizwerts CVKvon Kerosin umfasst. Das Gasturbinentriebwerk (10) umfasst eine Brennkammer (16) und eine Kraftstoffpumpe (108), die so angeordnet ist, dass sie der Brennkammer (16) einen Kraftstoff mit einer Energiedurchflussrate C zuführt, wobei die Pumpe (108) so angeordnet ist, dass sie Kraftstoff mit einem Pumpenausgangs-Volumenstrom Q ausgibt, wobei der Prozentsatz des Kraftstoffs, der die Pumpe passiert und nicht der Brennkammer (16) zugeführt wird, als Überlaufquote bezeichnet wird. Der Kraftstoff enthält X% SAF, wobei X% im Bereich von 5% bis 100% liegt, und hat eine Dichte ρFund einen Heizwert CVF. Das Antriebssystem (2) ist so ausgebildet, dass:das Kraftstoffänderungs-Überlaufverhältnis, Rs, von:Rs=U¨berlaufquote bei Reiseflug unter Nutzung von KerosinU¨berlaufquote bei Reiseflug unter Nutzung von Kraftstoff mit X%SAFgleich ist zu:Q−(C(CVK×ρK))Q−(C(CVF×ρF)).",BEMMENT CRAIG W (GB); KEELER BENJAMIN J (GB); FERRA PAUL W (GB); HOBDAY ALASTAIR G (GB); MCNALLY KEVIN R (GB); MINELLI ANDREA (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2023-04-06
DE102023108860A1,DE,2023-10-12,VERFAHREN UND SYSTEM ZUM BESTIMMEN VON KRAFTSTOFFMERKMALEN,"Die vorliegende Anmeldung offenbart ein Verfahren (1008) zum Bestimmen eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs, der zum Antreiben eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist, wobei das Gasturbinentriebwerk (10) eine Brennkammer (16) aufweist, die mit Kraftstoff von einem Kraftstoffsystem (65) versorgt wird, wobei das Verfahren umfasst: Bestimmen (1009) einer Masse des der Brennkammer zugeführten Kraftstoffs; Bestimmen (1010) eines entsprechenden Volumens des der Brennkammer zugeführten Kraftstoffs; und Bestimmen (1011) eines oder mehrerer Kraftstoffmerkmale auf der Grundlage der bestimmten Masse und des bestimmten Volumens. Ebenfalls offenbart werden ein System (106) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs (1) und ein Luftfahrzeug (1).",BEMMENT CRAIG W (GB); KEELER BENJAMIN J (GB); FERRA PAUL W (GB); HOBDAY ALASTAIR G (GB); MCNALLY KEVIN R (GB); MINELLI ANDREA (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2023-04-06
EP3184611B1,EP,2020-06-03,METHOD FOR PRODUCING AN AVIATION FUEL COMPOSITION,"The present invention relates to an aviation fuel composition comprising an aviation range fuel component and a diesel range fuel component originating from renewable sources, the diesel range fuel component having a cloud point of at most about -20°C and existent gum more than about 7 mg/ 100 ml, wherein existent gum of the aviation fuel composition is at most about 7 mg/100 ml.",SANDBERG KATI (FI); KIISKI ULLA (FI),"NESTE CORP (02150 Espoo, FI)",2015-12-21
EP3906290A1,EP,2021-11-10,PROCESS FOR INTEGRATED PRODUCTION OF RENEWABLE FUELS AND CHEMICALS,"The present disclosure provides a versatile process for producing valuable renewable hydrocarbons from triglyceride containing feedstock. The triglyceride containing feedstock is first split to provide a mixture containing fatty acids, glycerol and water, from which a phase separation provides an oily phase, and an aqueous phase. The oily phase containing fatty acids is subjected to fractionation, whereby specific fractions may be refined to products with controlled hydroprocessing. Products may contain paraffinic renewable aviation fuel components, paraffinic renewable base oil, renewable paraffinic diesel fuel components, renewable paraffinic technical fluid, or any combination thereof.",TIITTA MARJA (FI); MYLLYOJA JUKKA (FI); SIPPOLA VÄINÖ (FI),"NESTE OYJ (02150 Espoo, FI)",2019-12-20
