Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
DE3779796T2,DE,1993-01-21,FLUGZEUGNOTSTROMAGGREGAT.,"An aircraft emergency power unit having a high pressure air storage tank (22), an aviation fuel storage tank (24), and a combustor (26) which combusts pressurised air and aviation fuel in a stoichiometrically fuel rich ratio to produce a motive combustion gas.",WEIGAND FRANCIS K (US); KOERNER MICHAEL S (US); NESS RONALD J (US),ALLIED SIGNAL INC (US),1987-04-13
EP0242162A2,EP,1987-10-21,Emergency power unit for aircraft.,"An aircraft emergency power unit having a high pressure air storage tank (22), an aviation fuel storage tank (24), and a combustor (26) which combusts pressurised air and aviation fuel in a stoichiometrically fuel rich ratio to produce a motive combustion gas.",WEIGAND FRANCIS K; KOERNER MICHAEL S; NESS RONALD J,GARRETT CORP (US),1987-04-13
EP0242162B1,EP,1992-06-17,Emergency power unit for aircraft,"Abstract of EP0242162An aircraft emergency power unit having a high pressure air storage tank (22), an aviation fuel storage tank (24), and a combustor (26) which combusts pressurised air and aviation fuel in a stoichiometrically fuel rich ratio to produce a motive combustion gas.","WEIGAND, FRANCIS K.; KOERNER, MICHAEL S.; NESS, RONALD J.",ALLIED-SIGNAL INC. (A DELAWARE CORPORATION),1987-04-13
EP3455197B1,EP,2023-11-01,"BIORENEWABLE KEROSENE, JET FUEL, JET FUEL BLENDSTOCK, AND METHOD OF MANUFACTURING","The present technology provides compositions that include at least about 98 weight percent (""wt%"") n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least about 98 wt% C7-C12 n-paraffins, where at least about 10 wt% of composition includes n-decane, at least about 20 wt% of the composition includes n-dodecane, and at least about 75 wt% of the composition includes even carbon number paraffins. The composition also includes less about 0.1 wt% oxygenates and less than about 0.1 wt % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.",ABHARI RAMIN (US); SLADE DAVID A (US); TOMLINSON H LYNN (US); ASHBY ERIK (US); GREEN NATE (US); GOLDEN CAROLINE (US),"REG SYNTHETIC FUELS LLC (Ames IA 50010, US)",2017-05-10
EP3507348A1,EP,2019-07-10,METHOD TO PRODUCE AN ALTERNATIVE SYNTHETICALLY DERIVED AVIATION TURBINE FUEL - SYNTHETIC PARAFFINIC KEROSENE (SPK),"The invention provides a process for the production of aviation turbine fuel. The process includes the steps of oligomerizing light olefins derived from a high temperature Fisher-Tropsch process over a zeolite catalyst selected from a ZSM-5 (Zeolyst Int., SiO2/A12O3≈30)(COD-9) at pressures of 50 bar with the temperature ranging from 150 to 310° C., distilling from a gasoline fraction of the oligomerisation product, a fraction boiling below 150° C., hydrogenating the distilled oligomerisation fraction over a hydrogenation catalyst, distilling from the hydrogenated hydrocarbon product, fractionating the hydrogenation distillate fraction over a fractionation catalyst and distilling the fractionation hydrocarbon product to produce an aviation turbine fuel (ASH1925) able to meet the requirements as set out for a Synthetic ISO-Paraffinic Kerosene (SPK) as per ASTM D 7566-14a.",MDLELENI MASIKANA MILLAN (ZA); KNOTTENBELT CYRIL DAVID (ZA); LOURENS JANINE (ZA),"THE PETROLEUM OIL AND GAS CORP OF SOUTH AFRICA PTY LTD (7500 Cape Town, ZA)",2017-08-28
EP4342961A2,EP,2024-03-27,"BIORENEWABLE KEROSENE, JET FUEL, JET FUEL BLENDSTOCK, AND METHOD OF MANUFACTURING","The present technology provides compositions that include at least about 98 weight percent (""wt%"") n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least about 98 wt% C7-C12 n-paraffins, where at least about 10 wt% of composition includes n-decane, at least about 20 wt% of the composition includes n-dodecane, and at least about 75 wt% of the composition includes even carbon number paraffins. The composition also includes less about 0.1 wt% oxygenates and less than about 0.1 wt % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.",ABHARI RAMIN (US); ASHBY ERIK (US); GOLDEN CAROLINE (US); GREEN NATE (US); SLADE DAVID A (US); TOMLINSON H LYNN (US),"REG SYNTHETIC FUELS LLC (Ames IA 50010, US)",2017-05-10
JP2022151754A,JP,2022-10-07,AVIATION FUEL OIL AND BASE MATERIAL FOR AVIATION FUEL OIL,"To provide an aviation fuel oil having a low precipitation point, excellent low-temperature fluidity, lubricity and oxidation stability even when including an iso-paraffin-based base material as a main base material.SOLUTION: An aviation fuel oil comprises specific amounts of sulfur, iso-paraffins, n-paraffins, and aromatics, comprises 15 to 50% by volume of an iso-paraffinic base material having a density at 15°C and a distillation range each within specific ranges, comprises a specified amount of sulfur, comprises 25 to 45% by volume of a hydro-desulfurized kerosene base stock having a density at 15°C and a distillation range each within specific ranges, and comprises a specific amount of sulfur obtained from hydro-treated oil of a specific feedstock, and the aviation fuel oil comprises 15-40% by volume of high-pressure hydro-treated substrate having a density at 15°C and a distillation range within specific ranges, respectively, and has a kinematic viscosity at 30°C above a certain value.SELECTED DRAWING: None",OTSUKA TAKESHI; HASHIMOTO NAOKI,COSMO OIL CO LTD,2022-03-18
WO/2012/012855A1,WIPO,2012-02-02,CATALYTIC HYDROGENATION OF HYDROXYCYCLOALKANES AND USE OF THE PRODUCT IN BIOFUEL COMPOSITIONS FOR AVIATION,"The present patent application relates to a new alternative to biofuel for use in the aviation industry, by means of obtaining and producing compounds from renewable sources, which compositions could be used as a filler in the composition of aviation kerosene. Naphthenic compounds (cycloalkanes) produced from renewable sources are used as an enriching filler or additive in aviation kerosene. The process is based on catalytic hydrogenolysis reactions of hydroxycycloalkane-derived substrates, such as menthol and isopulegol. The catalytic system consists of a physical mixture of heterogeneous hydrogenation catalysts, acidic heterogeneous catalysts and also acid-supported metal hydrogenation catalysts. The hydrogenation catalysts used include noble metals from groups 6, 7, 8, 9 and 10 of the periodic table, the content of these noble metals ranging from 0.01 to 10%. Appropriate acidic heterogeneous catalysts are represented by sulfonated acidic polymer resins, protonated zeolytes and sulfated zirconia. The catalytic reaction conditions include a temperature range of 70°C to 250°C, a pressure of between 1 and 70 and a stirring speed of between 100 and 1000 rpm. The biofuel composition, produced by the catalytic hydrogenation process, is produced as a mixture of cycloalkanes and aviation fuel in a volume ratio of 1:100 to 100:1.",FRAGA MARCO ANDRE (BR); BORGES LUIZ EDUARDO PIZARRO (BR); GONCALVES FLAVIO DOS REIS (BR),INT INST NAC DE TECNOLOGIA (BR); INST MILITAR DE ENGENHARIA IME (BR); FRAGA MARCO ANDRE (BR); BORGES LUIZ EDUARDO PIZARRO (BR); GONCALVES FLAVIO DOS REIS (BR),2011-07-28
WO/2017/197017A1,WIPO,2017-11-16,"BIORENEWABLE KEROSENE, JET FUEL, JET FUEL BLENDSTOCK, AND METHOD OF MANUFACTURING","The present technology provides compositions that include at least about 98 weight percent (""wt%"") n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least about 98 wt% C7-C12 n-paraffins, where at least about 10 wt% of composition includes n-decane, at least about 20 wt% of the composition includes n- dodecane, and at least about 75 wt% of the composition includes even carbon number paraffins. The composition also includes less about 0.1 wt% oxygenates and less than about 0.1 wt % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.",ABHARI RAMIN (US); SLADE DAVID A (US); TOMLINSON H LYNN (US); ASHBY ERIK (US); GREEN NATE (US); GOLDEN CAROLINE (US),REG SYNTHETIC FUELS LLC (US),2017-05-10
WO/2018/045397A1,WIPO,2018-03-08,METHOD TO PRODUCE AN ALTERNATIVE SYNTHETICALLY DERIVED AVIATION TURBINE FUEL - SYNTHETIC PARAFFINIC KEROSENE (SPK),"The invention provides a process for the production of aviation turbine fuel. The process includes the steps of oligomerizing light olefins derived from a high temperature Fisher-Tropsch process over a zeolite catalyst selected from a ZSM-5 (Zeolyst Int., SiO2/Al2O3 ≈ 30)(COD-9) at pressures of 50 bar with the temperature ranging from 150 to 310°C, distilling from a gasoline fraction of the oligomerisation product, a fraction boiling below 150°C, hydrogenating the distilled oligomerisation fraction over a hydrogenation catalyst, distilling from the hydrogenated hydrocarbon product, fractionating the hydrogenation distillate fraction over a fractionation catalyst and distilling the fractionation hydrocarbon product to produce an aviation turbine fuel (ASH1925) able to meet the requirements as set out for a Synthetic ISO-Paraffinic Kerosene (SPK) as per ASTM D 7566 – 14a.",MDLELENI MASIKANA MILLAN (ZA); KNOTTENBELT CYRIL DAVID (ZA); LOURENS JANINE (ZA),THE PETROLEUM OIL & GAS CORP OF SOUTH AFRICA PTY LTD (ZA),2017-08-28
