Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
11585282,US,02/21/2023,Fuel characteristics,A method of identifying a fuel contained in a fuel tank of an aircraft and arranged to power a gas turbine engine of the aircraft is performed by processing circuitry of the aircraft and includes: obtaining at least one fuel characteristic of any fuel already present in the fuel tank prior to refuelling; determining at least one fuel characteristic of a fuel added to the fuel tank on refuelling; and calculating at least one fuel characteristic of the resultant fuel in the fuel tank after refuelling. The method may further controlling the propulsion system of the aircraft based on the calculated at least one fuel characteristic of the resultant fuel in the fuel tank after refuelling.,"Swann, Peter (Derby, GB)                
                            Bemment, Craig W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Keeler, Benjamin J. (Derby, GB)                
                            Madden, Christopher P. (Derby, GB)","ROLLS-ROYCE plc (London, GB)",06/29/2022
9190693,US,11/17/2015,Modular fuel cell system,"A fuel cell stack module includes a base, a cover dome removably positioned on the base, and a plurality of fuel cell stacks removably positioned on the base below the cover dome. A modular fuel cell system includes a plurality of the fuel cell stack modules, where each fuel cell stack module may be electrically disconnected, removed from the fuel cell system, repaired or serviced without stopping an operation of the other fuel cell stack modules in the fuel cell system.","Sridhar K. R. (Los Gatos, CA, US)                
                            Venkataraman, Swaminathan (Cupertino, CA, US)                
                            Lyle, William David (San Francisco, CA, US)                
                            Ballantine, Arne Watson (Menlo Park, CA, US)","BLOOM ENERGY CORPORATION (Sunnyvale, CA, US)",01/22/2007
7314493,US,01/01/2008,Fuel composition in fuel cartridges for DMFCs,"Fuel mixtures for direct methanol fuel cells are disclosed. The fuels include methanol and additives that react with water to produce methanol and other easily electro-oxidizable compounds including dimethyloxymethane, methylorthoformate, tetramethylorthocarbonate, trimethylborate, and tetramethylorthosilicate. Other additives to improve safety and efficiency of the fuel cell include sulfonated activated carbon particles and metal hydrides, such as LiAlH4, NaBH4, LiBH4, (CH3)2 NHBH3, NaAlH4, B2H6, NaCNBH3, CaH2, LiH, NaH, KH or sodium bis (2-methoxyethoxy) dihydridaluminate.","Ren, Xiaoming (Menands, NY, US)                
                            Shufon, Kevin J. (Troy, NY, US)                
                            Kovacs, Frank W. (Waterford, NY, US)","The Gillette Company (Boston, MA, US)",10/17/2003
9947955,US,04/17/2018,Modular fuel cell system,"A fuel cell stack module includes a base, a cover dome removably positioned on the base, and a plurality of fuel cell stacks removably positioned on the base below the cover dome. A modular fuel cell system includes a plurality of the fuel cell stack modules, where each fuel cell stack module may be electrically disconnected, removed from the fuel cell system, repaired or serviced without stopping an operation of the other fuel cell stack modules in the fuel cell system.","Sridhar K. R. (Los Gatos, CA, US)                
                            Venkataraman, Swaminathan (Cupertino, CA, US)                
                            Lyle, William David (San Francisco, CA, US)                
                            Ballantine, Arne (Palo Alto, CA, US)","BLOOM ENERGY CORPORATION (Sunnyvale, CA, US)",10/13/2015
US20110281185,US,11/17/2011,Modular fuel cell system,"A fuel cell stack module includes a base, a cover dome removably positioned on the base, and a plurality of fuel cell stacks removably positioned on the base below the cover dome. A modular fuel cell system includes a plurality of the fuel cell stack modules, where each fuel cell stack module may be electrically disconnected, removed from the fuel cell system, repaired or serviced without stopping an operation of the other fuel cell stack modules in the fuel cell system.","Sridhar K. R. (Los Gatos, CA, US)                
                            Venkataraman, Swaminathan (Cupertino, CA, US)                
                            Lyle, William David (San Francisco, CA, US)                
                            Ballantine, Arne Watson (Menlo Park, CA, US)",BLOOM ENERGY CORPORATION,01/22/2007
US20050081433,US,04/21/2005,Fuel composition in fuel cartridges for DMFCs,"Fuel mixtures for direct methanol fuel cells are disclosed. The fuels include methanol and additives that react with water to produce methanol and other easily electro-oxidizable compounds including dimethyloxymethane, methylorthoformate, tetramethylorthocarbonate, trimethylborate, and tetramethylorthosilicate. Other additives to improve safety and efficiency of the fuel cell include sulfonated activated carbon particles and metal hydrides, such as LiAlH4, NaBH4, LiBH4, (CH3)2 NHBH3, NaAlH4, B2H6, NaCNBH3, CaH2, LiH, NaH, KH or sodium bis (2-methoxyethoxy) dihydridaluminate.","Ren, Xiaoming (Menands, NY, US)                
                            Shufon, Kevin J. (Troy, NY, US)                
                            Kovacs, Frank W. (Waterford, NY, US)","REN XIAOMING                
                            SHUFON KEVIN J.                
                            KOVACS FRANK W.",10/17/2003
2401983,US,06/11/1946,Motor fuels,"This invention relates to improved aviation grade motor fuels for use in internal combustion spark ignition engines operating on the Otto cycle and more particularly deals with blended fuels of reduced knocking tendencies in supercharged spark ignition engines.  As is known, supercharging is...","Stanly, Albert L.                
                            Cattaneo, Alfred G.",SHELL DAVELOPMENT COMPANY,07/05/1941
4615455,US,10/07/1986,Explosion-resistant fuel tank device,"An explosion resistant fuel tank comprises an explosion resistant insert, which comprises a compressible resilient structure. The structure is placed within a conventional fuel tank, and has interconnecting capillary-sized cells for containing a liquid fuel. The cells have equivalent cross-sectional diameters of no more than about 0.005 inch. The fuel tank also comprises means for compressing the compressible structure to a reduced volume so that the liquid fuel contained therein passes out of the compressible structure. In one version, the compressible structure is a sponge. In another version, the compressible structure comprises an elongated honeycomb structure having elongated tubular cells lined up side by side. The honeycomb is substantially incompressible along the length of the tubular cells.","Tansill, Horace A. (Santa Barbara, CA)",TANSILL; HORACE A.,11/04/1985
7926282,US,04/19/2011,Pure air blast fuel injector,"A fuel injector for a gas turbine includes an outer air path having a converging exit portion, and a fuel path inboard of the outer air path. An inner air path inboard of the fuel path includes an outer wall having a converging exit region and surrounds an axial core duct defining an axial air path having a diverging exit region. The inner air path creates a pressure drop near a fuel injection opening to promote mixing and atomization of fuel over a range of power levels, including low power operation.","Chew, Gary W. (Osceola, IA, US)                
                            Cholvibul, Viraphand (Urbandale, IA, US)","Delavan Inc (West Des Moines, IA, US)",03/04/2008
US20090224080,US,09/10/2009,Pure Air Blast Fuel Injector,"A fuel injector for a gas turbine includes an outer air path having a converging exit portion, and a fuel path inboard of the outer air path. An inner air path inboard of the fuel path includes an outer wall having a converging exit region and surrounds an axial core duct defining an axial air path having a diverging exit region. The inner air path creates a pressure drop near a fuel injection opening to promote mixing and atomization of fuel over a range of power levels, including low power operation.","Chew, Gary W. (Osceola, IA, US)                
                            Cholvibul, Viraphand (Urbandale, IA, US)","Delavan Inc (West Des Moines, IA, US)",03/04/2008
11175045,US,11/16/2021,Fuel nozzle for gas turbine engine combustor,"A method and structure for operating a combustion system of a gas turbine engine to mitigate low frequency combustion acoustics is generally provided. The method includes flowing an oxidizer through a fuel nozzle passage defining an inner wall and an outer wall, in which each of the inner wall and the outer wall are contoured from a first radius to a second radius smaller than the first radius; flowing the oxidizer at a higher axial velocity at the inner wall relative to the outer wall upstream of a fuel injection port; flowing a fuel through the fuel injection port to the fuel nozzle passage to mix with the flow of oxidizer to produce a fuel-oxidizer mixture; and igniting the fuel-oxidizer mixture downstream of the fuel injection port.","Benjamin, Michael Anthony (Cincinnati, OH, US)                
                            Goda, Girish Venkata Satya Sesha (Bangalore, IN)                
                            Manat, Habeeb Kunnummal (Bangalore, IN)                
                            Sampath, Karthikeyan (Bangalore, IN)","General Electric Company (Schenectady, NY, US)",01/04/2018
