Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
DE102022133862A1,DE,2023-06-22,LEISTUNGSPARAMETER,"Die vorliegende Anmeldung offenbart ein Verfahren (1058) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) verwendet wird. Das Verfahren umfasst: Bestimmen (1059) eines oder mehrerer Leistungsparameter des Gasturbinentriebwerks (10) während eines ersten Betriebszeitraums des Gasturbinentriebwerks (10); und Bestimmen (1060) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs (F) auf der Grundlage des einen oder der mehreren Leistungsparameter. Ein Verfahren zum Betreiben eines Luftfahrzeugs, ein System zur Bestimmung von Kraftstoffmerkmalen (155) und ein Luftfahrzeug (1) werden ebenfalls offenbart.",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-19
EP1372127B1,EP,2006-09-20,TCAS cooperative mid-air collision avoidance system,"Abstract of EP1372127An airborne collision avoidance system (20) includes a receiver stage (28,30) constructed and arranged to detect (a) at a first radio frequency, first interrogation signals, and first collision resolution advisory (RA) signals transmitted from other nearby aircraft, and (b) at a second radio frequency, first acquisition signals including position information with respect to the nearby aircraft, and first reply signals from the nearby aircraft (12,14,16,18,19). A transmitter stage (32,36,38,40) is constructed to produce (a) at the first radio frequency, second interrogation signals and second collision RA signals, and (b) at the second radio frequency, second acquisition signals including position information with respect to the given aircraft, and second reply signals from the given aircraft in response to the first interrogation signals. Tracking and collision avoidance information derived by a system processor (35) from the detected first acquisition and first RA signals is shown on a cockpit display (42). The receiver and the transmitter stages are coupled to a single pair of upper and lower fuselage antennas (24,26) through a T/R switch module (34).",DROBNICKI PAUL F (US); MURPHY MICHAEL S (US); WOLFF DAVID L (US); BAYH CARL RAYMOND (US); ESBIN SCOTT M (US); PURDY RANDOPH A (US),BAE SYSTEMS INFORMATION (US),2003-06-06
EP1372127A1,EP,2003-12-17,TCAS cooperative mid-air collision avoidance system,"An airborne collision avoidance system (20) includes a receiver stage (28,30) constructed and arranged to detect (a) at a first radio frequency, first interrogation signals, and first collision resolution advisory (RA) signals transmitted from other nearby aircraft, and (b) at a second radio frequency, first acquisition signals including position information with respect to the nearby aircraft, and first reply signals from the nearby aircraft (12,14,16,18,19). A transmitter stage (32,36,38,40) is constructed to produce (a) at the first radio frequency, second interrogation signals and second collision RA signals, and (b) at the second radio frequency, second acquisition signals including position information with respect to the given aircraft, and second reply signals from the given aircraft in response to the first interrogation signals. Tracking and collision avoidance information derived by a system processor (35) from the detected first acquisition and first RA signals is shown on a cockpit display (42). The receiver and the transmitter stages are coupled to a single pair of upper and lower fuselage antennas (24,26) through a T/R switch module (34). ",DROBNICKI PAUL F (US); MURPHY MICHAEL S (US); WOLFF DAVID L (US); BAYH CARL RAYMOND (US); ESBIN SCOTT M (US); PURDY RANDOPH A (US),BAE SYSTEMS INFORMATION (US),2003-06-06
EP2423104A1,EP,2012-02-29,Passive adaptive structures,"Morphing an aerodynamic body's geometry in situ can optimize its aerodynamic properties, increasing range, reducing fuel consumption, and improving many performance parameters. The aerodynamic load exerted on the body by the flow is one such parameter, typically characterized as lift or drag. It is the aim of the present disclosure to teach the use of passive adaptive morphing structures to manage these aerodynamic loads.
",HEMMELGARN CHRISTOPHER D (US); PELLEY BRYAN M (US),"CORNERSTONE RES GROUP INC (Dayton, OH 45440, US)",2010-08-27
11708769,US,07/25/2023,Exhaust content,"The present application discloses a method of determining one or more fuel characteristics of an aviation fuel suitable for powering a gas turbine engine of an aircraft. The method comprises: determining, during use of the gas turbine engine, one or more exhaust content parameters by performing a sensor measurement on an exhaust of the gas turbine engine; and determining one or more fuel characteristics of the fuel based on the one or more exhaust parameters. Also disclosed is a fuel characteristic determination system, a method of operating an aircraft, and an aircraft.","Swann, Peter (Derby, GB)                
                            Beaven, David M. (Nottingham, GB)                
                            Bemment, Craig W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Keeler, Benjamin J. (Derby, GB)                
                            Madden, Christopher P. (Derby, GB)                
                            Yates, Martin K. (East Haddon, GB)","ROLLS-ROYCE plc (London, GB)",06/29/2022
US20080057359,US,03/06/2008,Flexible fuel cell system configuration to handle multiple fuels,"A fuel cell system comprises a fuel cell system and a fuel source that supplies a plurality of fuels, wherein the fuel cell system is configured to use the plurality of fuels and is configured to switch from one fuel to another. The fuel cell system can execute a seamless transition from one fuel to the other and provides continuous power generation even when an interruption in fuel infrastructure occur.","Venkataraman, Swaminathan (Cupertino, CA, US)                
                            Ballantine, Arne Watson (Menlo Park, CA, US)",Bloom Energy Corporation,08/31/2007
11597887,US,03/07/2023,Environment-friendly marine fuel,"For the shipping industry, these fuels provide solutions to long outstanding technical problems that heretofore hindered supply of low sulfur marine fuels in quantities needed to meet worldwide sulfur reduction goals. Marine shipping use of high sulfur bunker oils is reported as largest source of world-wide transportation SOx emissions. When ships on the open seas burn cheap low grade heavy bunker oils high in sulfur, nitrogen and metals, the SOx, NOx, and metal oxides go to the environment. This invention converts essentially all of each barrel of crude feed to a single ultraclean fuel versus conventional refining where crude feed is cut into many pieces, and each piece is sent down a separate market path meeting various different product specifications. When in port, ships can use these fuels to generate and sell electricity to land based electrical grids to offset fuel cost in an environment-friendly manner.","Wohaibi, Mohammed (Nacogdoches, TX, US)                
                            Pruitt, Tom F. (Nacogdoches, TX, US)","MAWETAL LLC (Nacogdoches, TX, US)",05/31/2022
11692147,US,07/04/2023,Environment-friendly marine fuel,"For the shipping industry, these fuels provide solutions to long outstanding technical problems that heretofore hindered supply of low sulfur marine fuels in quantities needed to meet worldwide sulfur reduction goals. Marine shipping use of high sulfur bunker oils is reported as largest source of worldwide transportation SOx emissions. When ships on the open seas burn cheap low grade heavy bunker oils high in sulfur, nitrogen and metals, the SOx, NOx, and metal oxides go to the environment. This invention converts essentially all of each barrel of crude feed to a single ultraclean fuel versus conventional refining where crude feed is cut into many pieces, and each piece is sent down a separate market path meeting various different product specifications. When in port, ships can use these fuels to generate and sell electricity to land based electrical grids to offset fuel cost in an environment-friendly manner.","Wohaibi, Mohammed (Nacogdoches, TX, US)                
                            Pruitt, Tom F. (Nacogdoches, TX, US)","MAWETAL LLC (Nacogdoches, TX, US)",05/31/2022
10640718,US,05/05/2020,Environment-friendly marine fuel,"For the shipping industry, these fuels provide solutions to long outstanding technical problems that heretofore hindered supply of low sulfur marine fuels in quantities needed to meet worldwide sulfur reduction goals. Marine shipping use of high sulfur bunker oils is reported as largest source of world-wide transportation SOx emissions. When ships on the open seas burn cheap low grade heavy bunker oils high in sulfur, nitrogen and metals, the SOx, NOx, and metal oxides go to the environment. This invention converts essentially all of each barrel of crude feed to a single ultraclean fuel versus conventional refining where crude feed is cut into many pieces, and each piece is sent down a separate market path meeting various different product specifications. When in port, ships can use these fuels to generate and sell electricity to land based electrical grids to offset fuel cost in an environment-friendly manner.","Wohaibi, Mohammed (Nacogdoches, TX, US)                
                            Pruitt, Tom F. (Nacogdoches, TX, US)","MAWETAL LLC (Nacogdoches, TX, US)",10/18/2016
7272468,US,09/18/2007,Self-sustaining environmental control unit,A method and apparatus for housing an electronic device are provided. The apparatus includes an environmentally sealed chamber to protect the electronic device from harsh environments. The environmental conditions of the chamber are controllable using environmental controls which are controlled by digital processor with a stored program coupled with sensors. The digital processor may also control the application of power from an external interface. The apparatus also includes a self-contained power source running from a primary fuel. A control system is provided for managing power production and energy storage to maintain continuity of environmental conditions.,"Caci, Claude J. (Owego, NY, US)                
                            Vos, David L. (Apalachin, NY, US)","Lockheed Martin Corporation (Bethesda, MD, US)",01/12/2005
