Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
WO/2012/169906A1,WIPO,2012-12-13,A HELICOPTER,"A composite structure forming a load bearing composite shell for a helicopter, with a shell which defines the exterior of a fuselage and includes a central fuselage section and tail boom, a fuselage which is adapted house an engine or drive train, a layered composite crashworthy seat and support structure and a fastening and a method of fastening by providing an adhesive between two layers which is allowed to flow through opposing holes in the layers to provide a chemical and mechanical attachment between the layers.",MALONEY PETER (NZ),COMPOSITE HELICOPTER HOLDINGS LTD (NZ); MALONEY PETER (NZ); HEATLEY NINA (NZ),2012-06-07
WO/2024/068661A1,WIPO,2024-04-04,"A CONTROL UNIT, A FORCE ACTUATION ELEMENT AND A METHOD FOR ADJUSTING AN ELEMENT OF AN AIRCRAFT","A control unit (6, 7) is indicated for controlling the pitch of an aircraft (1), the control unit (6, 7) comprising at least one adjustable control element (6) and an adjustment mechanism (7) for actively adjusting the at least one control element (6) by means of a continuous deformation of the at least one control element (6). An aircraft (1) with such a control unit (6, 7) and a method for controlling the pitch of an aircraft (1) are also indicated. A force actuation element (8) is further provided, which can be filled with a power transmission fluid (10), in order to effect an actuation force. Also provided are an aircraft (1) with such a force actuation element (8) and a method for adjusting an aero- or hydrodynamic element (3, 51, 32, 34, 4, 5, 6).",SCHOENSLEBEN SVEN PATRICK (US),SCHOENSLEBEN SVEN PATRICK (US),2023-09-26
EP2718180A1,EP,2014-04-16,A HELICOPTER,"A composite structure forming a load bearing composite shell for a helicopter, with a shell which defines the exterior of a fuselage and includes a central fuselage section and tail boom, a fuselage which is adapted house an engine or drive train, a layered composite crashworthy seat and support structure and a fastening and a method of fastening by providing an adhesive between two layers which is allowed to flow through opposing holes in the layers to provide a chemical and mechanical attachment between the layers.",MALONEY PETER (NZ); HEATLEY NINA (NZ),COMPOSITE HELICOPTER HOLDINGS LTD (NZ); HEATLEY NINA (NZ),2012-06-07
EP2516814B1,EP,2017-09-27,A HEAT ENGINE,"A non-compression engine having two or three variable volume mechanisms, an induction-displacer (1) and a combustion-expander (2) or an induction-displacer (1) and a combustion-expander (2) and an atmospheric-cooler (3). A working volume of gas is drawn into the induction-displacer, then displaced into the combustion-expander (2) at substantially constant volume passing through the regenerator (5). The gas in the combustor-expander (2) is further heated by combustion of a fuel then expanded to extract work. The gas is then displaced through the regenerator (5) into the atmospheric-cooler (3) at substantially constant volume, or exhaust from the regenerator at constant pressure. The gas is contracted in the atmospheric-cooler doing atmospheric work. Once the gas has equilibrated with the pressure of the atmosphere it is exhaust from the atmospheric-cooler (3).",COATES NICHOLAS RICHARD (GB),"2020 POWER GENERATION LTD (Shoreham by Sea West Sussex BN43 5RD, GB)",2010-10-25
WO/2009/152050A1,WIPO,2009-12-17,A GRADIATOR REFORMER,A desulfurizer-reformer reactor system comprising a gradient assembly having a de- sulfurizing material and a reforming catalyst material arranged in a sequential manner and methods of generating energy are disclosed.,AZAD ABDUL-MAJEED (US),UNIV TOLEDO (US); AZAD ABDUL-MAJEED (US),2009-06-05
EP2516814A2,EP,2012-10-31,A HEAT ENGINE,"A non-compression engine having two or three variable volume mechanisms, an induction-displacer (1) and a combustion-expander (2) or an induction-displacer (1) and a combustion-expander (2) and an atmospheric-cooler (3). A working volume of gas is drawn into the induction-displacer, then displaced into the combustion-expander (2) at substantially constant volume passing through the regenerator (5). The gas in the combustor-expander (2) is further heated by combustion of a fuel then expanded to extract work. The gas is then displaced through the regenerator (5) into the atmospheric-cooler (3) at substantially constant volume, or exhaust from the regenerator at constant pressure. The gas is contracted in the atmospheric-cooler doing atmospheric work. Once the gas has equilibrated with the pressure of the atmosphere it is exhaust from the atmospheric-cooler (3).",COATES NICHOLAS RICHARD (GB),ULTRAMO LTD (GB),2010-10-25
WO/2011/048392A2,WIPO,2011-04-28,A HEAT ENGINE,"A non-compression engine having two or three variable volume mechanisms, an induction-displacer (1) and a combustion-expander (2), or an induction- displacer (1) and a combustion-expander (2) and an atmospheric-cooler (3). A working volume of gas is drawn into the induction-displacer, then displaced into the combustion-expander (2) at substantially constant volume passing through the regenerator (5). The gas in the combustor-expander (2) is further heated by combustion of a fuel then expanded to extract work. The gas is then displaced through the regenerator (5) into the atmospheric-cooler (3) at substantially constant volume, or exhaust from the regenerator at constant pressure. The gas is contracted in the atmospheric-cooler doing atmospheric work. Once the gas has equilibrated with the pressure of the atmosphere it is exhaust from the atmospheric-cooler (3).",COATES NICHOLAS RICHARD (GB),ULTRAMO LTD (GB); COATES NICHOLAS RICHARD (GB),2010-10-25
EP3126207A1,EP,2017-02-08,MOVEMENT AUTHORITY FOR A RAIL VEHICLE,"The invention relates to the provision of a movement authority for a subsequent rail vehicle depending on a train integrity information of a rail vehicle traveling ahead of said rail vehicle. In this way, it is possible to switch between ETCS Level 2 and ETCS Level 3 (employing moving block method) on the basis of the train integrity information and the route can be efficiently used or used to capacity for different types of rail vehicles.",MORTON DAVID (DE),"SIEMENS AG (80333 München, DE)",2015-04-24
WO/2009/121790A1,WIPO,2009-10-08,GAS INJECTION IN A BURNER,"The invention relates to a gas injector for injecting fuel into a burner for a gas turbine engine. It is an object of the present invention to improve the mixing efficiency of air and fuel to further enhance the efficiency of a burner. According to the invention the gas injector comprises a burner (1) provided with a quarl (4a, 4b, 4c), which is circumferenting a combustion room, at least a first channel (10, 11) emerging into the combustion room for providing the combustion room with air (12) mixed with fuel (14); a swirler (3) for mixing the air (12) and the fuel (14) located at the inlet of said channel (10, 11); at least one tube (15) for the provision of fuel (14) at an inlet (13) of at least one channel (10, 11), wherein said tube (15) is provided with a plurality of diffuser holes (15A) distributed along the tube (15) acting as gas injectors for effectively distributing fuel (14) in a flow of air passing through said channel (10, 11).",MILOSAVLJEVIC VLADIMIR (SE); PERSSON ALLAN (SE); PERSSON MAGNUS (SE),SIEMENS AG (DE); MILOSAVLJEVIC VLADIMIR (SE); PERSSON ALLAN (SE); PERSSON MAGNUS (SE),2009-03-26
EP2257737A1,EP,2010-12-08,GAS INJECTION IN A BURNER,"The invention relates to a gas injector for injecting fuel into a burner for a gas turbine engine.  It is an object of the present invention to improve the mixing efficiency of air and fuel to further enhance the efficiency of a burner. According to the invention the gas injector comprises a burner (1) provided with a quarl (4a, 4b, 4c), which is circumferenting a combustion room, at least a first channel (10, 11) emerging into the combustion room for providing the combustion room with air (12) mixed with fuel (14); a swirler (3) for mixing the air (12) and the fuel (14) located at the inlet of said channel (10, 11); at least one tube (15) for the provision of fuel (14) at an inlet (13) of at least one channel (10, 11), wherein said tube (15) is provided with a plurality of diffuser holes (15A) distributed along the tube (15) acting as gas injectors for effectively distributing fuel (14) in a flow of air passing through said channel (10, 11).",MILOSAVLJEVIC VLADIMIR (SE); PERSSON ALLAN (SE); PERSSON MAGNUS (SE),SIEMENS AG (DE),2009-03-26
