Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP6298076B2,JP,2018-03-20,Composition,,"Bruer, mark lawrence; Crackner, Roger Francis; Go, To Quito",SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BESLOTEN VENNOOTSHAP,2013-12-19
11585278,US,02/21/2023,Aviation fuel,"A method of determining one or more fuel characteristics of an aviation fuel for powering a gas turbine engine of an aircraft includes: measuring one or more trace substance parameters of the fuel, the one or more trace substance parameters each associated with a respective trace substance in the fuel; and determining one or more fuel characteristics of the fuel based on the one or more trace substance parameters. Further, a fuel characteristic determination system, a method of operating an aircraft, and an aircraft.","Swann, Peter (Derby, GB)                
                            Beaven, David M. (Nottingham, GB)                
                            Bemment, Craig W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Keeler, Benjamin J. (Derby, GB)                
                            Madden, Christopher P. (Derby, GB)                
                            Yates, Martin K. (East Haddon, GB)","ROLLS-ROYCE plc (London, GB)",06/29/2022
11566193,US,01/31/2023,Aviation fuel composition,"The present invention relates to an aviation fuel composition comprising an aviation range fuel component and a diesel range fuel component originating from renewable sources, the diesel range fuel component having a cloud point of at most about −20° C. and existent gum more than about 7 mg/100 ml, wherein existent gum of the aviation fuel composition is at most about 7 mg/100 ml.","Sandberg, Kati (Järvenpää, FI)                
                            Kiiski, Ulla (Porvoo, FI)","Neste Corporation (Espoo, FI)",12/14/2016
US20100252648,US,10/07/2010,Climate Processor,"A climate processor having virtual estuaries which enable large strips of land to act like real water estuaries thereby providing a means of climate control overhead. Said estuaries are also used to prevent polar isotherm migration, melting ice shelves, vortical storm formation and migration from lateral coastal airflow. Said estuaries are formed between two parallel-laid thermal belts formed from artificial surface whitening and jet contrails. The surface whitening can be laid down as a foam or gel and deployed overhead as a high level aviation propellant. The belts may be applied daily and dissipate as the day progresses and subsequently warms. Commercial aircraft flights may be readjusted based on the placement of the artificial estuaries. Also claimed are an aerial deployment system for the foam, a high-level aviation propellant system, a carbon trading system for commercial airlines, a “Russian Doll” gas mixing device and a range of suitable foams.","Robinson, Nicholas Paul (Cottingham, GB)",Assignee not found,02/02/2010
7491258,US,02/17/2009,Fuel tank ventilation device,"A gas and liquid separation device for use with a fuel tank. The separation device includes a body having at least one passage therethrough in fluid communication with the fuel tank, and a gas and liquid separator carried by the body in fluid communication with the at least one passage and being oriented at an angle with respect to horizontal when in use.","Gouzou, Christophe (Châlons en Champagne, FR)                
                            Renard, Eric (Compertrix, FR)                
                            De Monts, De Savasse Humbert (Reims, FR)","TI Automotive Fuel Systems SAS (Châlons en Champagne, FR)",11/04/2005
US20060096258,US,05/11/2006,Fuel tank ventilation device,"A gas and liquid separation device for use with a fuel tank. The separation device includes a body having at least one passage therethrough in fluid communication with the fuel tank, and a gas and liquid separator carried by the body in fluid communication with the at least one passage and being oriented at an angle with respect to horizontal when in use.","Gouzou, Christophe (Chalons en Champagne, FR)                
                            Renard, Eric (Compertrix, FR)                
                            De Savasse, Humbert De (Reims, FR)",TI Automotive Fuel Systems SAS,11/04/2005
10895384,US,01/19/2021,Premixed fuel nozzle,A fuel injector assembly for a gas turbine engine is generally provided. The first fuel injector includes a first centerbody surrounding a first walled fuel injection circuit. A first fuel injection port is extended at least partially radially through the first centerbody in fluid communication with the first walled fuel injection circuit. The first centerbody defines a cooling circuit surrounding the first walled fuel injection circuit. The first centerbody defines a plurality of cooling openings at a downstream end of the first centerbody. The plurality of cooling openings is in fluid communication with the cooling circuit. The first centerbody defines an axially extended cooling outlet at the downstream end of the first centerbody.,"Boehm, Randall Charles (Loveland, OH, US)                
                            Boardman, Gregory Allen (Liberty Township, OH, US)                
                            Patra, Ajoy (Bangalore, IN)                
                            Lind, David Albin (Lebanon, OH, US)                
                            Naik, Pradeep (Bangalore, IN)                
                            Mishra, Ranjeet Kumar (Bangalore, IN)","General Electric Company (Schenectady, NY, US)",11/29/2018
US20200173662,US,06/04/2020,Premixed Fuel Nozzle,A fuel injector assembly for a gas turbine engine is generally provided. The first fuel injector includes a first centerbody surrounding a first walled fuel injection circuit. A first fuel injection port is extended at least partially radially through the first centerbody in fluid communication with the first walled fuel injection circuit. The first centerbody defines a cooling circuit surrounding the first walled fuel injection circuit. The first centerbody defines a plurality of cooling openings at a downstream end of the first centerbody. The plurality of cooling openings is in fluid communication with the cooling circuit. The first centerbody defines an axially extended cooling outlet at the downstream end of the first centerbody.,"Boehm, Randall Charles (Loveland, OH, US)                
                            Boardman, Gregory Allen (Liberty Township, OH, US)                
                            Patra, Ajoy (Bangalore, IN)                
                            Lind, David Albin (Lebanon, OH, US)                
                            Naik, Pradeep (Bangalore, IN)                
                            Mishra, Ranjeet Kumar (Bangalore, IN)","General Electric Company (Schenectady, NY, US)",11/29/2018
10816210,US,10/27/2020,Premixed fuel nozzle,"A fuel injector assembly for a gas turbine engine includes a centerbody extended along a lengthwise direction, the centerbody defining a first fuel nozzle, and an annular shroud defining a second fuel nozzle directly surrounding the centerbody and extended along the lengthwise direction. A passage is defined through the annular shroud and extended generally along the lengthwise direction. The passage defines an exit opening disposed at a downstream end adjacent to the combustion chamber and in fluid communication therewith. The annular shroud defines a fuel inlet opening disposed at an upstream end of the passage. The annular shroud defines an air inlet opening in fluid communication with the passage. The air inlet opening is disposed between the fuel inlet opening and the exit opening.","Lind, David Albin (Lebanon, OH, US)                
                            Boardman, Gregory Allen (Liberty Township, OH, US)","General Electric Company (Schenectady, NY, US)",09/28/2017
11131627,US,09/28/2021,Fuel contamination monitor,An apparatus to detect contaminants in a fuel comprises an input to receive a fuel flow. A light scattering system is coupled to the input. An imaging system is coupled to the light scattering system. A memory is coupled to the imaging system. A processor is coupled to the memory. Output signals from the imaging and light scattering systems are transferred to the processor. The processor is configured to cause the light scattering system to monitor the light scattering intensity from the contaminants in the fuel flow. The processor is configured to cause the light scattering system to measure a light scattering intensity signal from the contaminants in the fuel flow. The processor is configured to generate a trigger signal to turn on the imaging system when the light scattering intensity is greater than a predetermined threshold.,"Bachalo, William D. (Los Altos Hills, CA, US)","Artium Technologies, Inc. (Sunnyvale, CA, US)",02/07/2018
