Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP2012519768A,JP,2012-08-30,バイオマスからの有機化合物を一部含有する航空燃料,"The invention relates to an aviation fuel containing between 1 and 100 wt.-% of a fraction of a compound obtained by means of chemical transformation from renewable, natural optionally-hydroxylated monounsaturated fatty acids having a chain length at least equal to 14 carbon atoms, selected from among nitriles and medium fatty acid esters containing between 7 and 12 carbon atoms per molecule and between 0 and 99 wt.-% of a kerosene originating from petrol that meets global aviation fuel specifications.","Deyubois, Jiyan-Liyusk",Arkema France,2010-03-08
JP2019518823A,JP,2019-07-04,バイオ再生可能ケロシン、ジェット燃料、ジェット燃料ブレンドストック、および製造方法,本技術は、他の驚くべき特徴の中でも、ディーゼル燃料、航空燃料、ジェット燃料ブレンドストック、ディーゼル燃料の曇り点を低減するブレンドストック、ポータブル加熱器用燃料、および／または木炭ライター流体としての使用に適し得る、少なくとも約９８重量パーセント（「重量％」）のｎ−パラフィンを含む組成物を提供する。組成物は、少なくとも約９８重量％のＣ７〜Ｃ１２ｎ−パラフィンを含み、組成物の少なくとも約１０重量％はｎ−デカンを含み、組成物の少なくとも約２０重量％はｎ−ドデカンを含み、組成物の少なくとも約７５重量％は偶数炭素数パラフィンを含む。組成物は、約０．１重量％未満の酸素化物および約０．１重量％未満の芳香族も含む。組成物は、パーム核油、ヤシ油、ババス油、微生物油、または藻類油のうちの少なくとも１つを含むバイオ再生可能フィードストックを水素化処理することを含むプロセスによって生成され得る。【選択図】なし,Aberramine; Slade David A.; Tom Linson H. Lynn; Ashby Eric; Green nate; Golden caroline,R Easy Synthetic Fuels Limited Liability Company,2017-05-10
JP2019529613A,JP,2019-10-17,合成由来の代替航空タービン燃料である、合成パラフィンケロシン（ＳＰＫ）の製造方法,本発明は、航空タービン燃料の製造方法を提供する。本方法は、高温フィッシャー・トロプシュ法に由来する軽質オレフィンを、ＺＳＭ−５（Ｚｅｏｌｙｓｔ Ｉｎｔ．社製、ＳｉＯ２／Ａｌ２Ｏ３≒３０）およびＣＯＤ−９から選択されるゼオライト触媒上で、５０ｂａｒの圧力、１５０〜３１０℃の範囲の温度でオリゴマー化するステップと、オリゴマー化生成物のガソリン画分から沸点が１５０℃未満の画分を蒸留するステップと、蒸留されたオリゴマー化画分を水素化触媒上で水素化するステップと、水素化された炭化水素生成物から蒸留するステップと、水素化留出物画分を精留触媒上で精留するステップと、精留炭化水素生成物を蒸留して、合成イソパラフィンケロシン（ＳＰＫ）について定められたＡＳＴＭ Ｄ ７５６６−１４ａの要件を満たすことができる航空タービン燃料（ＡＳＨ１９２５）を製造するステップとを含む。【選択図】 図１,Mudreleni Masikana Milan; Nottenbelt Cyril David; Lawrence Janine,THE PETROLEUM OIL AND GAS CORPORATION OF SOUTH AFRICA (PTY) LTD,2017-08-28
JP2020511350A,JP,2020-04-16,無人航空車両のための電力システムの冷却,無人航空車両は、回転するように少なくとも１つのプロペラを駆動するように構成される、少なくとも１つのロータモータと、電力を少なくとも１つのロータモータに提供するように構成される、マイクロハイブリッド発電機システムとを含む。マイクロハイブリッド発電機システムは、電力を少なくとも１つのロータモータに提供するように構成される、再充電可能バッテリと、機械的動力を生成するように構成される、小型エンジンと、小型エンジンに結合され、小型エンジンによって生成される機械的動力から電力を生成するように構成される、発電機モータとを含む。無人航空車両はまた、マイクロハイブリッド発電機システムに結合するように構成される、冷却システムを含む。冷却システムは、１つ以上の板と、１つ以上の板のそれぞれから延在する、複数のフィンとを含む。冷却システムは、マイクロハイブリッド発電機システムから熱を放散するように構成される。,"Fan, Long N.; Imani Nejad, Mohammad; Sweetland, Matthew","Top Flight Technologies, Inc.",2018-03-09
JP2024506450A,JP,2024-02-14,炭素回収を利用する化学物質および燃料を製造するプラントのための、コンピュータで実行されるモニタリング方法およびシステム,本開示は、ブループラントのためのコンピュータで実行されるモニタリング方法であって、前記プラントは、ブルー化学もしくは燃料製品を製造するように構成されており、プラント中に、製造プロセスのパラメータを登録するための複数の手段、好ましくは複数のセンサを、例えば反応器に沿って、備えており、炭素回収が前記製品のカーボンフットプリントを改善するために利用される、前記方法に関する。前記方法はさらに、受け取ったセンサデータから持続可能性スコアを計算することを含む。本開示はさらに、コンピュータで実行されるモニタリング方法およびシステム、データ処理システム、および上記を含むブループラントに関する。,Wilbek Feey Alice Hallqvist; Boyson Anders Erik; Veadir Sulwein; Rasmusun Henrek Voldas; Garald Thor; tucker prijesh; alkire ole fly; How Go Leave; Masun Mathias Boii,Topso Actiesel Scavet,2021-12-22
JP5663501B2,JP,2015-02-04,バイオマスからの有機化合物を一部含有する航空燃料,"The invention relates to an aviation fuel containing between 1 and 100 wt.-% of a fraction of a compound obtained by means of chemical transformation from renewable, natural optionally-hydroxylated monounsaturated fatty acids having a chain length at least equal to 14 carbon atoms, selected from among nitriles and medium fatty acid esters containing between 7 and 12 carbon atoms per molecule and between 0 and 99 wt.-% of a kerosene originating from petrol that meets global aviation fuel specifications.",デユボワ，ジヤン−リユツク,アルケマ  フランス,2010-03-08
JP6887445B2,JP,2021-06-16,バイオ再生可能ケロシン、ジェット燃料、ジェット燃料ブレンドストック、および製造方法,"The present technology provides compositions that include at least about 98 weight percent (""wt%"") n-paraffins which, among other surprising features, may be suitable for use as a diesel fuel, an aviation fuel, a jet fuel blendstock, a blendstock to reduce the cloud point of a diesel fuel, a fuel for portable heaters, and/or as a charcoal lighter fluid. The composition includes at least about 98 wt% C7-C12 n-paraffins, where at least about 10 wt% of composition includes n-decane, at least about 20 wt% of the composition includes n-dodecane, and at least about 75 wt% of the composition includes even carbon number paraffins. The composition also includes less about 0.1 wt% oxygenates and less than about 0.1 wt % aromatics. The composition may be produced by a process that includes hydrotreating a biorenewable feedstock comprising at least one of palm kernel oil, coconut oil, babassu oil, microbial oil, or algal oil.",Aberramine; Slade David A.; Tom Linson H. Lynn; Ashby Eric; Green nate; Golden caroline,R Easy Synthetic Fuels Limited Liability Company,2017-05-10
JP2000510544A,JP,2000-08-15,【発明の名称】ウエット圧縮を介してガスタービンで動力増大を達成する方法および装置,"The net output of an industrial gas turbine (101) including an axial-flow multistage compressor (103) having an inlet (102) for acquiring a working fluid comprising air, is augmented using a process comprising the step of providing, to the working fluid acquired by the axial-flow compressor (103), droplets of a liquid which possesses a high latent of vaporization to reduce the temperature increase of the working fluid caused by compression and to thereby achieve an increase in the net output of the gas turbine (101) as measured against the net output of the gas turbine (101) under comparable conditions but without said liquid being provided. The droplets are provided by droplet-addition means (201) located a sufficient distance away from the compressor inlet (102) whereby, in the event of any element of said means breaks away and is carried with the inlet air towards the compressor inlet, that element is gravitationally pulled to a lower surface (136) of an inlet duct (133) to the compressor inlet (102) before the air reaches said inlet (102).","Zachary, Richard Y; Hudson, Roger Dee; Henry E. James E; Lively, William Yee",The Dow Chemical Company,1997-05-02
JP7093748B2,JP,2022-06-30,ジェット・エンジンのクリーニング方法,"An apparatus for foaming a water soluble liquid cleaning agent, which includes a housing (61) defining an internal flowpath, the flowpath having first (65), second (74), and third (78) flow portions arranged sequentially. The housing (61) has a gas inlet (62), a liquid inlet (63) for the water soluble cleaning agent, and a foam outlet (64). The first flow portion (65) includes a gas plenum (66) that is adapted and configured for receiving gas under pressure from the gas inlet (62) and includes a plurality of apertures (70). The plenum (66) and the interior of said housing (61) cooperate to form a mixing region receiving liquid from the liquid inlet (63) and receiving gas expelled from the apertures (70). The first portion (65) provides a first foam of the liquid and the gas into the internal flowpath. The second flow portion (74) receives the first foam and flows the first foam past a foam growth member (75) adapted and configured to provide surface area for attachment and merging of cells of the first foam to create a second foam. The third flow portion (78) receives the second foam and flows the second foam through a foam structuring member (79) adapted and configured to reduce the size of at least some of the cells of the second foam to create a third foam provided to the foam outlet (64).","Saens, Giorgi, Ivan",Aerocore Technologies LLC,2019-06-17
JP2019528213A,JP,2019-10-10,二重圧縮機４ホイールターボマシンを用いた環境制御システムの改善された予冷方法および航空機,ガスタービンエンジン（１２）を使用して抽気を航空機の環境制御システム（４８）に供給する方法および航空機は、環境制御システム（４８）に対する抽気需要を決定することと、低圧および高圧抽気（６６、６６ａ、６６ｂ、６８）を選択的に環境制御システム（４８）に供給することとを含み、選択的供給は、調整空気流が決定された抽気需要を満たすように制御される。【選択図】図３,"Astron, Dominique Patrick",GE Aviation Systems LLC,2017-08-23
