Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP2013505172A,JP,2013-02-14,航空機の電力管理装置,"An electric power management system of a vehicle may interconnect a power plant, a propeller drive unit, and a battery via a bus. A command limiting controller may direct the operation of the power plant and the propeller drive unit in fast and slow modes of operation, the fast mode of operation operating at a higher bus voltage than at a slow mode of operation. The command limiting controller may generate a bus current to drive the propeller drive unit according to a command limiting, voltage-versus-current curve that adjusts the bus current depending on an amount of voltage on the power bus; where the command limiting curve includes a minimum voltage portion, a maximum voltage portion and a control range therebetween having upper and lower voltage limits and upper and lower current limits for enhanced reliability and stable control of the propeller drive unit.","Matsuzesky, Thaddeus, Benjamin; Kor, Roland, Mitchell; Berman, Scott, Garrett; Abdul Rahim, Mujahide","AEROVIRONMENT, INC.",2010-09-20
JP2013545654A,JP,2013-12-26,運航乗務員が就業不能状態の場合の航空機の自動制御,A method for automatic control of an aircraft in event of flight crew incapacity may include determining any incapacity of the flight crew. The method may also include providing a message requiring acknowledgement from the flight crew in response determining incapacity of the flight crew. The method may additionally include commanding an auto pilot to control the aircraft in response to not receiving acknowledgement from the flight crew.,"Rigi, Luigi Peep.; Talbot, Mark A.; Wellbrook, Gregory M.",The Boeing Company,2011-09-23
JP5409396B2,JP,2014-02-05,非生物有機材料の帯電防止処理と導電性改善に適した添加剤組成物,"An additive formulation suitable for antistatic modification and improving the electrical conductivity of inanimate organic material, consisting essentially of (A) from 1 to 50% by weight of an olefin-sulfur dioxide copolymer, (B) from 1 to 50% by weight of a compound which comprises one or more basic nitrogen atoms and has at least one relatively long-chain linear or branched hydrocarbon radical having at least four carbon atoms or an equivalent structural element which ensures the solubility of component (B) in the inanimate organic material, (C) from 0.1 to 30% by weight of an oil-soluble acid and (D) from 1 to 80% by weight of a high-boiling organic solvent which consists of one or more molecule types, where at least 80% by weight of these molecule types have a boiling point of more than 150° C. at standard pressure, where the sum of all components adds up to 100% by weight.",Dietmar Posselto; Frank-Olav Mailing; Arno Lange; Anya Finquia; Claudius Colman,BASF SE,2008-02-28
JP2021519293A,JP,2021-08-10,微生物感染症の治療及び予防,本発明は、微生物(例えば、細菌)感染症を治療又は予防するための方法及びそうした方法を実施するための手段を提供する。特に、敗血症、セプシス、SIRS、又は敗血症ショック等の急性状態を治療するため等の、迅速で持続的な療法を必要とする感染症の治療が可能になる。また、本発明は、例えば、環境使用、食品使用、及び飲料使用のための微生物の処置に特に有用である。本発明は、とりわけ、産業系若しくは家庭系の基材若しくは流体の微生物腐食(MIC)又は生物汚損を制御するための方法に関する。本発明は、移植、又はがん、ウイルス感染症、若しくは自己免疫疾患の治療等の疾患又は状態の治療を受けている対象の病原性細菌感染症の治療にも有用である。,Molten Sommer; Birgenia Martinez; Eric van der Helm; Jacob Clause Harbor; Ana de Santiago Trio; Christian Glendal; Yasper Kurube,SNR Biome Arpes,2019-03-25
JP5529651B2,JP,2014-06-25,超音速燃焼器の着火方法及び着火制御装置,,Shinsuke Tajiri; Moriwaki Atsushi; Mitsuru Inada; Shojiro Furuya; Hiroyuki Yukawa; Yoshihiro Kawamata; Keiro Kaneko,"MITSUBISHI HEAVY INDUSTRIES,LTD.",2010-07-01
JP2024023210A,JP,2024-02-21,微生物感染症の治療及び予防,【課題】微生物感染症を治療、又は予防するための方法を提供する。【解決手段】対象の急性微生物感染症を治療するための方法で使用するためのプログラム可能なヌクレアーゼであって、前記微生物感染症は、第1の種又は菌株の微生物により引き起こされ、前記ヌクレアーゼは、前記対象に感染した微生物のゲノムにより含まれる標的部位を切断するようにプログラム可能であり、それにより前記第1の種又は菌株の微生物は死滅するか、又は前記微生物の成長若しくは増殖は低減され、前記治療方法は、前記対象を、前記標的部位を切断するようにプログラムされている前記ヌクレアーゼと接触させる工程を含み、それにより、前記対象により含まれる前記微生物のゲノムが切断され、前記対象の急性微生物感染症が治療され、前記方法は、前記治療の最初の30分間までに、前記感染を少なくとも100分の1に低減する工程を含むプログラム可能なヌクレアーゼ、を提供する。【選択図】図５,Molten Sommer; Birgenia Martinez; Eric van der Helm; Jacob Clause Harbor; Ana de Santiago Trio; Christian Glendal; Yasper Kurube,SNR Biome Arpes,2023-11-01
JP2024019744A,JP,2024-02-13,自国主食備蓄目的飛行機,【課題】ＮＧＭＯ国産の米と麦から製造混合された混合変性アルコール燃料で飛行する自国主食備蓄目的飛行機、人食用ＮＧＭＯ国産の米と麦の調達計画支援システム及び計画を提供する。【解決手段】自国主食備蓄目的飛行機において、木製底板の上面中央部に円筒形或いは直方体箱形の主翼支持枠を木組み及び／又は接着剤で固着する。主翼支持枠軽量で丈夫で安価な杉材を接着剤で積層にした合板とする。主翼支持枠の左右には木製主翼を木組み及び／又は接着剤で固着する。木製主翼は、樫の木材を接着剤で積層にした合板とする。推進機は、木製主翼の下又は上にパルスロケットエンジンを懸架又は搭載する。燃料を充填した燃料ボンベは、木製底板に搭載し結束帯で木製底板に固定し、加圧ポンプを適必要に応じて敷設する。貨物を格納したコンテナは、木製底板に搭載し結束帯で木製底板に固定する。【選択図】図１,Toshihisa Shirakawa,Toshihisa Shirakawa,2022-07-31
JP2016505683A,JP,2016-02-25,組成物,ディーゼル燃料調合物に使用するための添加剤組成物であって、式（Ｉ）：（式中ｎは、６〜２０の整数であり、Ｒ１、Ｒ２およびＲ３は、それぞれ独立して、水素、場合によっては置換されていてもよいアルキル、場合によっては置換されていてもよいアリールおよびカルボニルから選択され、ただしＲ１、Ｒ２およびＲ３の全てが水素ではない）の改変シクロデキストリンとの包接錯体の形態でゲスト分子として存在するセタン価向上剤を含む、上記添加剤組成物である。また、添加剤組成物を含むディーゼル燃料調合物、および添加剤組成物またはディーゼル燃料調合物中のセタン価向上剤のための媒体としての改変シクロデキストリン（Ｉ）の使用も提供される。【選択図】 図１Ｄ,"Bruer, mark lawrence; Crackner, Roger Francis; Go, To Quito",SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BESLOTEN VENNOOTSHAP,2013-12-19
JP2016501977A,JP,2016-01-21,組成物,式（Ｉ）：（式中、ｎは６〜２０の整数であり、Ｒ１、Ｒ２、及びＲ３は、それぞれ独立して、水素、場合によって置換されているアルキル、場合によって置換されているアリール、及びカルボニルから選択され、但し、Ｒ１、Ｒ２、及びＲ３の全てが水素ではない）の変性シクロデキストリンとの包接錯体中におけるゲスト分子として存在する活性物質を含む、燃料又は潤滑剤配合物中で用いるための添加剤組成物。添加剤組成物を含む燃料又は潤滑剤配合物、添加剤組成物の製造で用いるためのプレミックス、並びに添加剤組成物或いは燃料又は潤滑剤配合物中の活性物質のためのビヒクルとしての変性シクロデキストリン（Ｉ）の使用も提供される。【選択図】 図３,"Brewer, Mark Lawrence; Crackner, Roger Francis; Go, Thor kit",SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BESLOTEN VENNOOTSHAP,2013-12-19
JP5618358B2,JP,2014-11-05,二酸化炭素回収機能付き輸送手段および二酸化炭素の回収処理方法,"PROBLEM TO BE SOLVED: To provide a transport means equipped with carbon dioxide recovering function and a method of recovering carbon dioxide to prevent a problem caused by the recovered carbon dioxide, such as an operation failure to be caused by unbalanced weight or capacity of the transport means.SOLUTION: The transport means equipped with carbon dioxide recovering function includes an internal tank 1B to store a hydrocarbon-based fuel and carbon dioxide, a tank pressure sensor 17 to detect a pressure, a tank pressure regulator 18 to regulate the pressure on the basis of the detection result, a tank temperature sensor 19 to sense the temperature, a tank temperature adjuster 20 to adjust the temperature of the internal tank 1B on the basis of the detection result, a shell tank temperature sensor 15 to sense the temperature of a shell tank 1A covering the outside of the internal tank 1B, and a shell tank cooler 16 to cool the shell tank 1A on the basis of the detection result. By using the above apparatuses, the transport means controls the conditions for storing the hydrocarbon-based fuel and carbon dioxide in the tank 1B.",山根  健次; 村上  睦尚; 松本  隆弘; 猪原  祥行; 藤木  信彦; 綾  威雄,独立行政法人海上技術安全研究所,2010-06-18
