Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JPH06312700A,JP,1994-11-08,CONTROL DISPLAY SYSTEM,"PURPOSE: To provide a display screen, by which optimum display to a pilot can be made, and the flying condition of a pilotless aircraft can be understood and judged easily and precisely by the pilot by collectively displaying various kinds of flying data on a special-purpose control display, and providing a function capable of changing the display screen so as to be suitable for the pilot. CONSTITUTION: Plural pilotless aircrafts 11a-11n are loaded with telemeter signal transmitters 9a-9n, and control signal receivers 10a-10n, and on the other hand, a control display system special for each aircraft is provided on the ground side. Various kinds of flying data transmitted from the pilotless aircrafts 1a-11n is collectively displayed on one screen of the control display 1a-1n, and the display screen of the control display 1a-1n is changed depending on pilots 4a-4n, or switched to be displayed in scroll or dividing method.COPYRIGHT: (C)1994,JPO",YOKOTA KOICHI,JAPAN AVIATION ELECTRON,1993-04-28
US20230332548,US,10/19/2023,FUEL DELIVERY,"A gas turbine engine for an aircraft includes a staged combustion system having pilot fuel injectors and main fuel injectors. The gas turbine engine further includes a fuel delivery regulator arranged to control delivery of fuel to the pilot and main fuel injectors, and a fuel characteristic determination module configured to determine one or more fuel characteristics of the fuel being supplied to the staged combustion system. A controller is configured to determine a staging point defining the point at which the staged combustion system is switched between pilot-only operation and pilot-and-main operation, the staging point being determined based on the determined one or more fuel characteristics, the controller being configured to control the staged combustion system according to the determined staging point.","Swann, Peter (Derby, GB)                
                            Bemment, Craig W. (Derby, GB)                
                            Madden, Christopher P. (Derby, GB)","ROLLS-ROYCE plc (London, GB)",06/09/2023
US20230332543,US,10/19/2023,FUEL VISCOSITY,"A method of operating a gas turbine engine including an engine core including a turbine, compressor, combustor to combust a fuel, and core shaft connecting the turbine and compressor; a fan upstream of the engine core; a fan shaft; a gearbox that receives an input from the core shaft and outputs drive to the fan via the fan shaft; a primary oil loop system to supply oil to the gearbox; and a heat exchange system. The method includes controlling the heat exchange system to adjust fuel viscosity to be lower than or equal to 0.58 mm2/s on entry to the combustor at cruise conditions.","Bemment, Craig W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Keeler, Benjamin J. (Chesterfield, GB)                
                            Madden, Christopher P. (Derby, GB)                
                            Minelli, Andrea (Derby, GB)                
                            Smith, Andrew T. (Derby, GB)                
                            Swann, Peter (Derby, GB)                
                            Yates, Martin K. (Derby, GB)","ROLLS-ROYCE plc (London, GB)",06/20/2023
11643980,US,05/09/2023,Engine parameters,"A method of determining a calorific value of fuel supplied to a gas turbine engine of an aircraft comprises sensing at least one engine parameter during a first time period of aircraft operation during which the gas turbine engine uses the fuel; and, based on the at least one sensed engine parameter, determining a calorific value of the fuel. The sensing may be repeated such that the at least one engine parameter is monitored over time. The gas turbine engine may be a propulsive gas turbine engine of the aircraft or a gas turbine engine of an auxiliary power unit of the aircraft.","Bemment, Craig W. (Derby, GB)                
                            Keeler, Benjamin J. (Derby, GB)                
                            Ferra, Paul W. (Derby, GB)                
                            Hobday, Alastair G. (Derby, GB)                
                            Mcnally, Kevin R. (Derby, GB)                
                            Minelli, Andrea (Derby, GB)                
                            Yates, Martin K. (Northamptonshire, GB)","ROLLS-ROYCE plc (London, GB)",06/29/2022
7840336,US,11/23/2010,Control system for gas turbine aeroengine,"In a gas turbine aeroengine control system, in Ch-A (first control channel), a first CPU monitors the operation of a second CPU and the second CPU monitors the operation of the first CPU; in Ch-B (second control channel), third and fourth CPUs similarly monitor each other, and when the operation of at least one of the first and second CPUs in Ch-A is found not to be normal, the output sent to an FCU (fuel control unit) is switched from the output of one or the other of the first and second CPUs of Ch-A to the output of one or the other of the third and fourth CPUs of Ch-B, thereby achieving improved CPU failure detection and realizing high redundancy and high reliability.","Muramatsu, Hironori (Wako, JP)                
                            Hattori, Yuichi (Wako, JP)                
                            Tezuka, Makoto (Wako, JP)","Honda Motor Co., Ltd. (Minato-Ku, Tokyo, JP)",05/11/2006
US20070055435,US,03/08/2007,Control system for gas turbine aeroengine,"In a gas turbine aeroengine control system, in Ch-A (first control channel), a first CPU monitors the operation of a second CPU and the second CPU monitors the operation of the first CPU; in Ch-B (second control channel), third and fourth CPUs similarly monitor each other, and when the operation of at least one of the first and second CPUs in Ch-A is found not to be normal, the output sent to an FCU (fuel control unit) is switched from the output of one or the other of the first and second CPUs of Ch-A to the output of one or the other of the third and fourth CPUs of Ch-B, thereby achieving improved CPU failure detection and realizing high redundancy and high reliability.","Muramatsu, Hironori (Wako-shi, JP)                
                            Hattori, Yuichi (Wako-shi, JP)                
                            Tezuka, Makoto (Wako-shi, JP)","HONDA MOTOR CO., LTD.",05/11/2006
9938853,US,04/10/2018,Torsional damping for gas turbine engines,"The present disclosure is directed to a gas turbine engine assembly having a compressor configured to increase pressure of incoming air, a combustion chamber, at least one turbine coupled to a generator, a torsional damper, and a controller. The combustion chamber is configured to receive a pressurized air stream from the compressor. Further, fuel is injected into the pressurized air in the combustion chamber and ignited so as to raise a temperature and energy level of the pressurized air. The turbine is operatively coupled to the combustion chamber so as to receive combustion products that flow from the combustion chamber. The generator is coupled to the turbine via a shaft. Thus, the torsional damper is configured to dampen torsional oscillations of the generator. Moreover, the controller is configured to provide additional damping control to the generator.","Gemin, Paul Robert (Cincinnati, OH, US)                
                            Becker, Thomas Lee (Symmes Township, OH, US)                
                            Steen, Tod Robert (Cincinnati, OH, US)","General Electric Company (Schenectady, NY, US)",02/09/2016
10125724,US,11/13/2018,Start system for gas turbine engines,A gas turbine engine includes a flow control mechanism operable to direct at least a portion of a fan airflow from a secondary flow path into a core flow path.,"Roberge, Gary D. (Tolland, CT, US)                
                            Berryann, Andrew P. (Coventry, CT, US)                
                            Carr, Scott A. (Manchester, CT, US)","UNITED TECHNOLOGIES CORPORATION (Farmington, CT, US)",01/17/2012
US20210229802,US,07/29/2021,FAIL-OPERATIONAL VTOL AIRCRAFT,"An aircraft capable of carrying at least 400 pounds of payload, has four rotors systems, each of the rotor systems being independently driven by an electric motor or other torque-producing source. Each of the rotor systems provide sufficient thrust such that the aircraft is capable of controlled vertical takeoff and landing, even if one of the variable pitch rotor is inoperable. An electronic control system is configured to control the rotational speed and pitch of at least one of the rotor systems in each of the first and second rotor pairs. The rotors may be arranged in coaxial stacks or maybe otherwise configured.","Karem, Abraham (Santa Ana, CA, US)                
                            Doss, Ryan (Irvine, CA, US)                
                            Waide, William Martin (Central Point, OR, US)                
                            Tigner, Benjamin (Laguna Beach, CA, US)","Overair, Inc. (Lake Forest, CA, US)",05/07/2020
US20230002042,US,01/05/2023,FAIL-OPERATIONAL VTOL AIRCRAFT,"An aircraft capable of carrying at least 400 pounds of payload, has four rotors systems, each of the rotor systems being independently driven by an electric motor or other torque-producing source. Each of the rotor systems provide sufficient thrust such that the aircraft is capable of controlled vertical takeoff and landing, even if one of the variable pitch rotor is inoperable. An electronic control system is configured to control the rotational speed and pitch of at least one of the rotor systems in each of the first and second rotor pairs. The rotors may be arranged in coaxial stacks or maybe otherwise configured.","Karem, Abraham (Santa Ana, CA, US)                
                            Doss, Ryan (Irvine, CA, US)                
                            Waide, William Martin (Central Point, OR, US)                
                            Tigner, Benjamin (Laguna Beach, CA, US)","Overair, Inc. (Santa Ana, CA, US)",09/06/2022
