Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
EP2449231A2,EP,2012-05-09,METHOD OF OPERATING A HEATED GUIDE VANE ASSEMBLY,"A method of operating a heated guide vane assembly for turbomachinery, the heated guide vane assembly including a plurality of guide vanes each having two major surfaces joined about their periphery by edges and an associated electric heater element secured to at least one major surface of the guide vanes. The method includes the steps of energizing heater elements on at least one of the guide vanes, de-energizing heater elements on at least one of the guide vanes, and energizing heater elements on at least one of the guide vanes which was not energized in the first energizing step.",EDMONDSON WAYNE GARCIA (US),GEN ELECTRIC (US),2010-05-14
WO/1993/018966A1,WIPO,1993-09-30,AUTOGYRO AIRCRAFT,"An autogyro (10) has a teetering semi-rigid rotary wing (28) with rigid rotor blades (30a, 30b). The blade pitch of the rotor blades (30a, 30b) is fully adjustable in flight and varies along the blade length. A prerotator (100) rotates the rotor blades (30a, 30b) up to takeoff speed at minimum drag, no lift and optimum engine efficiency. Engine power is disconnected from the rotor blades (30a, 30b) and their angle of attack is changed for optimum lift. Rotor blade pitch is adjusted during vertical landing. In flight, rotor blade angle of attack is varied to adjust autorotation, lift and drag at any flight airspeed. On the ground, the rotary wing (28) is braked to prevent rotation. The autogyro (10) may roll, pitch or yaw, with complete independence of blade pitch with respect to all other relative motions. The pedals (61a, 61b) have disproportions forward and backward motions.",GROEN HENRY JAY (US); GROEN DAVID LYNN (US),SEGO TOOL INC (US),1993-03-25
EP0631553A1,EP,1995-01-04,AUTOGYRO AIRCRAFT.,"Abstract not available for EP0631553Abstract of corresponding document: WO9318966An autogyro (10) has a teetering semi-rigid rotary wing (28) with rigid rotor blades (30a, 30b). The blade pitch of the rotor blades (30a, 30b) is fully adjustable in flight and varies along the blade length. A prerotator (100) rotates the rotor blades (30a, 30b) up to takeoff speed at minimum drag, no lift and optimum engine efficiency. Engine power is disconnected from the rotor blades (30a, 30b) and their angle of attack is changed for optimum lift. Rotor blade pitch is adjusted during vertical landing. In flight, rotor blade angle of attack is varied to adjust autorotation, lift and drag at any flight airspeed. On the ground, the rotary wing (28) is braked to prevent rotation. The autogyro (10) may roll, pitch or yaw, with complete independence of blade pitch with respect to all other relative motions. The pedals (61a, 61b) have disproportions forward and backward motions.",GROEN HENRY JAY (US); GROEN DAVID LYNN (US),"SEGO TOOL INC (Salt Lake City, UT 84104, US)",1993-03-25
EP0631553B1,EP,1997-11-26,AUTOGYRO AIRCRAFT,"Abstract not available for EP0631553Abstract of corresponding document: WO9318966An autogyro (10) has a teetering semi-rigid rotary wing (28) with rigid rotor blades (30a, 30b). The blade pitch of the rotor blades (30a, 30b) is fully adjustable in flight and varies along the blade length. A prerotator (100) rotates the rotor blades (30a, 30b) up to takeoff speed at minimum drag, no lift and optimum engine efficiency. Engine power is disconnected from the rotor blades (30a, 30b) and their angle of attack is changed for optimum lift. Rotor blade pitch is adjusted during vertical landing. In flight, rotor blade angle of attack is varied to adjust autorotation, lift and drag at any flight airspeed. On the ground, the rotary wing (28) is braked to prevent rotation. The autogyro (10) may roll, pitch or yaw, with complete independence of blade pitch with respect to all other relative motions. The pedals (61a, 61b) have disproportions forward and backward motions.",GROEN HENRY JAY (US); GROEN DAVID LYNN (US),"SEGO TOOL INC (Salt Lake City, UT 84104, US)",1993-03-25
WO/2022/063993A1,WIPO,2022-03-31,ALTERNATIVE METHANOL TO OLEFIN (MTO) PROCESS,"A process and plant for producing an olefin stream, comprising passing a feedstock stream comprising oxygenates over a catalyst thereby forming an olefin stream; using a first reactor set including a single reactor or several reactors for the partial or full conversion of the oxygenates; and in series arrangement with the first reactor set, using a second reactor set including a single reactor or several reactors, for the further conversion of the oxygenates, and a phase separation stage in between the first reactor set and the second reactor set, for thereby forming the olefin stream.",BEATO PABLO (DK),HALDOR TOPSOE AS (DK),2021-09-24
EP3978728A1,EP,2022-04-06,AIRCRAFT PERFORMANCE OPTIMIZATION BASED ON ENGINE PERFORMANCE MONITORING,"A system (400) and method (420) for optimizing performance of an aircraft (100) or boat through detection and trending of engine deterioration based on the performance of the vehicle's gas turbine engine (200).The system and method detects declines in engine power due to either of in-transit events or over the extended lifetime of the engine, the declines being due to routine engine part aging or an event. As engine power gradually or suddenly deteriorates, the system (400) and method (420) lowers a maximum operating line which defines the safe limits for peak engine power consumption during flight. For in-transit events, the system and method detects when actual power consumption (502) is approaching the current maximum operating line. The controller (110) may then automate changes to operations of entirely separate aircraft systems, such as rebalancing electrical energy consumption by various non-engine elements of the aircraft (100).
",BALADI MEHDI MILANI (US); ESPOSITO ANIELLO (IT); ADIBHATLA SRIDHAR (US); COLLINS KATHLEEN (US),"GE AVIO SRL (Rivalta di Torino, IT)",2021-09-22
EP2851340B1,EP,2018-10-31,"ORTHO-PHOSPHATE, ORTHO-VANADATE OR ORTHO-PHOSPHATE-VANADATE COMPONENTS FOR USE IN SOLID CHEMICAL OXYGEN GENERATORS","The present invention relates to a composition for generating oxygen, comprising at least one oxygen source selected from chlorates and perchlorates, to an oxygen generator comprising such a composition, and a method for generating oxygen by decomposing such a composition. The present invention further relates to the use of transition metal ortho-phosphate compounds ortho-vanadate compounds and mixed orthophosphate-vanadate compounds as multifunctional components in the oxygen generating compositions.",KALLFASS CHRISTOPH (DE),"GOODRICH LIGHTING SYSTEMS GMBH (59557 Lippstadt, DE)",2013-09-23
WO/2022/120296A1,WIPO,2022-06-09,"CAMELINA SATIVA VARIETY ""SO-100""","The subject invention relates to a Camelina sativa (L.) Crantz spring-type seed designated as""SO- 100"" derived from a cross between camelina accessions with high yield and oil quality attributes following conventional breeding methodologies.",GUILLEN PORTAL FERNANDO (US),SUSTAINABLE OILS INC (US),2021-08-13
WO/2022/120298A1,WIPO,2022-06-09,"CAMELINA SATIVA VARIETY ""SO-120""","The subject invention relates to a Camelina sativa (L.) Crantz spring-type seed designated as ""SO- 120"" derived from a cross between camelina accessions with high yield and oil quality attributes following conventional breeding methodologies.",GUILEN PORTAL FERNANDO (US),SUSTAINABLE OILS INC (US),2021-08-13
WO/2022/120297A1,WIPO,2022-06-09,"CAMELINA SATIVA VARIETY ""SO-110""","The subject invention relates to a Camelina sativa (L.) Crantz spring-type seed designated as ""SO-110"" derived from a cross between camelina accessions with high yield and oil quality attributes following conventional breeding methodologies.",GUILLEN PORTAL FERNANDO (US),SUSTAINABLE OILS INC (US),2021-08-13
WO/2022/104301A1,WIPO,2022-05-19,"CAMELINA SATIVA VARIETY ""SO-80""","The subject invention relates to a Camelina sativa (L.) Crantz spring-type seed designated as ""SO-80"" derived from a three-way cross between camelina accessions with high yield and oil quality attributes following conventional breeding methodologies.",GUILLEN PORTAL FERNANDO (US),SUSTAINABLE OILS INC (US),2021-08-13
WO/2022/104302A1,WIPO,2022-05-19,"CAMELINA SATIVA VARIETY ""SO-90''","The subject invention relates to a Camelina sativa (L.) Crantz spring-type seed designated as ""SO-90""derived from a cross between camelina accessions with high yield and oil quality attributes following conventional breeding methodologies.",GUILLEN PORTAL FERNANDO (US),SUSTAINABLE OILS INC (US),2021-08-13
