Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
4073741,US,02/14/1978,Cobalt oxide chlorate candle,"A substantially fuel-free oxygen-generating composition consisting essentially of an alkali metal chlorate which may contain a small amount of perchlorate, in combination with a catalytic amount in the order of about 0.5 to 5.0% by weight of cobalt oxide.","Heintz, Clifford E. (Buffalo, NY)","A-T-O Inc. (Willoughby, OH)",03/05/1976
5149012,US,09/22/1992,Turbocraft,"An aircraft having a substantially circular body having a profile in the direction of flight as a profile of an airplane wing, at least two concentric counter-rotating turbo-blade assemblies within said body for effecting a vertical lifting air stream through said assemblies. Power generating devices and devices for coupling the power generating devices to the turbo-blade assemblies for maintaining them in rotary motion. It also includes thrusting devices coupled to the power generating devices for applying horizontal thrust to the aircraft, retro-boosting devices including a plurality of combustion chambers located below the turbo-blade assemblies for boosting said vertical lifting airstream. Also included is a compressed air plenum disposed below said turbo-blade assemblies in fluid communication with the combustion chambers and to the intake portion of the power generating means for supplying oxygen for sustaining combustion in said combustion chambers and for sustaining power in said power generating means, including upper vanes disposed above said turbo-blade assemblies for ingesting air, and lower vanes disposed below said compressed air plenum for exhausting air, and respective upper and lower vane control means.","Valverde, Rene L. (Coral Gables, FL)",VALVERDE; RENE L.,09/10/1991
5032969,US,07/16/1991,Turbine engine igniter exciter circuit,An improved turbine engine igniter exciter circuit. An oscillator circuit drives the primary winding of a transformer for charging a capacitor to a predetermined voltage greater than the voltage required to sustain a spark discharge at an igniter but less than the voltage required to establish a spark discharge at the igniter. A timing circuit periodically triggers an SCR to discharge a portion of the energy stored in the capacitor through the primary winding of a step up transformer to create a short duration high voltage ignition pulse for establishing the spark discharge. The remaining lower voltage energy in the capacitor sustains the spark discharge for a predetermined time.,"Eggers, Frederick W. (Redding, CA)                
                            Adam, Leroy B. (Redding, CA)","Cooper Industries, Inc. (Houston, TX)",02/15/1990
5039031,US,08/13/1991,Turbocraft,"An aircraft having a substantially circular body having a profile in the direction of flight as a profile of an airplane wing, at least two concentric counter-rotating turbo-blade assemblies within said body for effecting a vertical lifting air stream through said assemblies. Power generating devices and devices for coupling the power generating devices to the turbo-blade assemblies for maintaining them in rotary motion. It also includes thrusting devices coupled to the power generating devices for applying horizontal thrust to the aircraft, retro-boosting devices including a plurality of combustion chambers located below the turbo-blade assemblies for boosting said vertical lifting airstream. Also included is a compressed air plenum disposed below said turbo-blade assemblies in fluid communication with the combustion chambers and to the intake portion of the power generating means for supplying oxygen for sustaining combustion in said combustion chambers and for sustaining power in said power generating means, including upper vanes disposed above said turbo-blade assemblies for ingesting air, and lower vanes disposed below said compressed air plenum for exhausting air, and respective upper and lower vane control means.","Valverde, Rene L. (Coral Gables, FL)",VALVERDE; RENE L.,04/05/1990
6708498,US,03/23/2004,Venturiless swirl cup,"A swirl cup for a gas turbine engine combustor includes a tubular body having an inlet at one end for receiving a fuel injection nozzle, an outlet at an opposite end for discharging the fuel, and an annular septum therebetween. A row of first swirl vanes is attached to the septum adjacent the body inlet, and a row of second swirl vanes is attached to the septum adjacent the first swirl vanes and spaced upstream from the body outlet. Air from the first and second swirl vanes is swirled directly around the injected fuel without a flow barrier or venturi therebetween.","Stickles, Richard W. (Loveland, OH)                
                            Halpin, John L. (Pointe Claire, CA)","General Electric Company (Schenectady, NY)",01/16/2003
6550251,US,04/22/2003,Venturiless swirl cup,"A swirl cup for a gas turbine engine combustor includes a tubular body having an inlet at one end for receiving a fuel injection nozzle, an outlet at an opposite end for discharging the fuel, and an annular septum therebetween. A row of first swirl vanes is attached to the septum adjacent the body inlet, and a row of second swirl vanes is attached to the septum adjacent the first swirl vanes and spaced upstream from the body outlet. Air from the first and second swirl vanes is swirled directly around the injected fuel without a flow barrier or venturi therebetween.","Stickles, Richard W. (Loveland, OH)                
                            Halpin, John L. (Pointe Claire, CA)","General Electric Company (Schenectady, NY)",12/18/1997
2042770,US,06/02/1936,Carburetor,"420,295. Spray carburetters. BENDIX AVIATION CORPORATION, 105, West Adams Street, Chicago, U.S.A. May 6, 1933, No. 13239. Convention date, May 7, 1932. [Class 7 (iii)] A carburetter body formed in two sections has a float chamber and a double Venturi cast integral with one of the sections. A downdraught carburetter comprises an upper body portion 8, preferably of aluminium alloy and formed by die casting, and a lower body portion 9 preferably of cast iron and formed as a plain tube with relatively thin walls and separated from the upper portion by a non- conducting gasket 10. A choke valve 13 mounted on a shaft 14 is provided with a poppet valve 15. The upper section is cast with a float chamber 21 and also with an inner Venturi 36 and an outer Venturi 34, this being made possible by a fin 38 which contains the nozzle in the form of a tubular member 45 held in place by a metering plug 53. Tube 45 is cut away on its outer surface at 54 to provide an air-bleed passage, which communicates at one end with the bore of the tube through ports 56, and at the other end with the main air passage through a duct 60. The tube is also cut away circumferentially at 62 to provide communication with an idling duct 64, 66 which leads, through passage 72, Fig. 4, to a nozzle 76 beyond the throttle valve 19. The throttle is actuated through a lever 82 and the other end of the spindle has an arm 88, Fig. 5, connected to one arm 92 of a jointed lever the other arm 93 of which is connected to the rod 98, Fig. 4, of an accelerating pump. The members of the jointed lever turn about a pin 94, Fig. 3, and are normally held by a spring 97 so that the arm 92 is in contact with a stop 96 on the arm 93. On rapid opening of the throttle 19, the lever arms are relatively displaced against the tension of the spring with the result that the plunger of the accelerating pump has a slow and prolonged movement. The cylinder 102 of the accelerating pump is cast with the upper body section 8 and communicates with the float chamber through a port 103, Fig. 5. The lower end of the cylinder is connected through a port 111 with an accelerating-fuel nozzle 112, Fig. 4. In a modification, Fig. 8, (not shown) a second fin is provided in alignment with the fin 38, and the inner Venturi is provided at its upper end with a cap which constitutes the main nozzle. The cap is recessed on its outer surface to form a chamber registering with the fuel passage and communicating with the Venturi through holes in the cap.","Chandler, Milton E.",BENDIX AVIAT CORP,05/07/1932
2109260,US,02/22/1938,Carburetor,"This invention relates to carburetors, and more particularly to acceleration pumps used in association with carburetors.  In designing a carburetor, it is desirable to so locate the acceleration pump that it will quickly inject a charge of liquid fuel when the throttle is opened rapidly. It...","Chandler, Milton E.                
                            Wirth, Emil O.",BENDIX AVIAT CORP,12/01/1933
2403720,US,07/09/1946,Carburetor,This invention relates to carburetor choke valves and particularly to those which are automatic in operation.  Internal combustion engines using liquid fuel are ordinarily equipped with carburetors having either manually or automatically operated choke valves for closing off the air supply...,"Hunt, Scott F.",BENDIX AVIAT CORP,08/24/1932
7846540,US,12/07/2010,Impact-absorbing composite structure,"An impact-absorbing composite structure is formed with a resin and a fiber laminated body, and absorbs, when experiencing an impact, the impact by self destruction. An interlayer-strength improvement technique is applied on the impact-absorbing composite structure in an oblique manner or in a gradual manner.","Sakai, Shigeru (Bellevue, WA, US)                
                            Kanemasu, Masayuki (Aichi, JP)                
                            Abe, Kenichiro (Aichi, JP)                
                            Higuchi, Naoki (Aichi, JP)","Mitsubishi Heavy Industries, Ltd. (Tokyo, JP)",08/03/2004
