Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
EP0447215A3,EP,1992-05-06,GENERATOR AUXILIARY MODE LUBRICATION SYSTEM AND METHOD,"Abstract of EP0447215A generator system having a failure mode cooling-oil lubricating auxiliary compartment [Figs. 1-4 (44)] structurally integrated into the generator casing (14) so as to provide a supplement to primary [Fig. 1 (100, 110); Fig. 3 (112-118)] cooling and lubrication functions. A coupled driving unit (20) and generating unit (10) of an aircraft generating system has primary pump (50) cooling and lubricating functions during productive rotating electrical power generation (AC), and cooling friction and windage cooling function and a residual lubrication function [Figs. 1, 2, 4 (142-148)] is used for critical rotating components, during a fault mode of electrical non-power output production in the generator. This is provided in order to retard or eliminate damage and destruction of the coupled driving and generator units during an extended interim without power output of a failed generator unit, such as when its primary cooling and lubricating components have ceased to function.","MCCABRIA, JACK LEE",WESTINGHOUSE ELECTRIC CORPORATION,1991-03-13
EP1787140A1,EP,2007-05-23,COLLISION AVOIDANCE SYSTEM,Abstract not available for EP1787140,ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),BAE SYSTEMS PLC (GB),2005-07-05
EP1787140B1,EP,2012-09-19,COLLISION AVOIDANCE SYSTEM,"A method for avoiding a collision and a collision avoidance system for a host vehicle comprising detecting means adapted to detect an intruder vehicle within a predetermined region around the host vehicle and collect data on the intruder vehicle; means for predicting a projected path of the intruder vehicle in the host vehicle reference frame; means for determining a protection region around the host vehicle, and conflict determining means adapted to determine if the intruder vehicle projected path will intercept the host vehicle protection region and thereby determine if conflict exists between the host vehicle and the intruder vehicle.",ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),BAE SYSTEMS PLC (GB),2005-07-05
WO/2006/021813A1,WIPO,2006-03-02,COLLISION AVOIDANCE SYSTEM,"A method for avoiding a collision and a collision avoidance system for a host vehicle comprising detecting means adapted to detect an intruder vehicle within a predetermined region around the host vehicle and collect data on the (5) intruder vehicle; means for predicting a projected path of the intruder vehicle in the host vehicle reference frame; means for determining a protection region around the host vehicle, and conflict determining means adapted to determine if the intruder vehicle projected path will intercept the host vehicle protection region and thereby determine if conflict exists between the host vehicle and the (10) intruder vehicle.",ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),BAE SYSTEMS PLC (GB); ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),2005-07-05
EP1280699B1,EP,2003-11-05,AN AIRCRAFT WITH A DETACHABLE PASSENGER ESCAPE CABIN AND AN AIRCRAFT WITH AIRBAGS,"Abstract not available for EP1280699Abstract of corresponding document: US6682017An aircraft with a detachable cabin (1) that serves to rescue its passengers as a result of the aircraft's sudden fall either due to its malfunction or fire. The cabin escapes either smoothly or by means of fast ejection and descends slowly to the Earth with the aid of a parachute (13, 14); during a crash on the ground or in the sea external airbags (38a-38f) with which it is equipped and which are located in its lower part are inflated thus absorbing the loads that are developed during the crash. In addition a conventional aircraft (70) of the type being already in use is also described and in which the parachute equipment (71) has already been applied; however, the proposed equipment of the airbag boxes (72a-72c) is adapted to it for the absorption of the energy produced due to its crash on Earth in case of its sudden fall.",GIANNAKOPOULOS PAVLOS (GR),GIANNAKOPOULOS PAVLOS (GR),2000-11-23
EP2764223A2,EP,2014-08-13,AERO COMPRESSION COMBUSTION DRIVE ASSEMBLY CONTROL SYSTEM,"A control system for an aero compression combustion drive assembly, the aero compression combustion drive assembly having an engine member, a transmission member and a propeller member, the control system including a sensor for sensing a pressure parameter in each of a plurality of compression chambers of the engine member, the sensor for providing the sensed pressure parameter to a control system device, the control system device having a plurality of control programs for effecting selected engine control and the control system device acting on the sensed pressure parameter to effect a control strategy in the engine member A control method is further included.",WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),ENGINEERED PROPULSION SYSTEMS INC (US); WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),2012-10-05
WO/2013/052912A2,WIPO,2013-04-11,AERO COMPRESSION COMBUSTION DRIVE ASSEMBLY CONTROL SYSTEM,"A control system for an aero compression combustion drive assembly, the aero compression combustion drive assembly having an engiune member, a transmission member and a propeller member, the control system including a sensor for sensing a pressure parameter in each of a plurality of compression chambers of the engine member, the sensor for providing the sensed pressure parameter to a control system device, the control system device having a plurality of control programs for effecting selected engine control and the control system device acting on the sensed pressure parameter to effect a control strategy in the engine member. A control method is further included.",WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),ENGINEERED PROPULSION SYSTEMS INC (US); WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),2012-10-05
EP2764223B1,EP,2021-07-21,AERO COMPRESSION COMBUSTION DRIVE ASSEMBLY CONTROL SYSTEM,"A control system for an aero compression combustion drive assembly, the aero compression combustion drive assembly having an engine member, a transmission member and a propeller member, the control system including a sensor for sensing a pressure parameter in each of a plurality of compression chambers of the engine member, the sensor for providing the sensed pressure parameter to a control system device, the control system device having a plurality of control programs for effecting selected engine control and the control system device acting on the sensed pressure parameter to effect a control strategy in the engine member A control method is further included.",WEINZIERL STEVEN M (US); FUCHS MICHAEL J (US),"ENG PROPULSION SYSTEMS INC (New Richmond, WI 54017, US); WEINZIERL STEVEN M (New Richmond, WI 54017, US); FUCHS MICHAEL J (New Richmond, WI 54017, US)",2012-10-05
WO/2001/074659A1,WIPO,2001-10-11,AN AIRCRAFT WITH A DETACHABLE PASSENGER ESCAPE CABIN AND AN AIRCRAFT WITH AIRBAGS,"An aircraft with a detachable cabin (1) that serves to rescue its passengers as a result of the aircraft's sudden fall either due to its malfunction or fire. The cabin escapes either smoothly or by means of fast ejection and descends slowly to the Earth with the aid of a parachute (13; 14); during a crash on the ground or in the sea external airbags (38a-38f) with which it is equipped and which are located in its lower part are inflated thus absorbing the loads that are developed during the crash. In addition a conventional aircraft (70) of the type being already in use is also described and in which the parachute equipment (71) has already been applied; however, the proposed equipment of the airbag boxes (72a-72c) is adapted to it for the absorption of the energy produced due to its crash on Earth in case of its sudden fall.",GIANNAKOPOULOS PAVLOS (GR),GIANNAKOPOULOS PAVLOS (GR),2000-11-23
WO/2009/121778A1,WIPO,2009-10-08,QUARLS IN A BURNER,"The invention relates to a quarl of a burner (1) for a gas turbine engine, in which fuel and air is mixed and provided to the burner (1) and wherein a quarl (4a, 4b, 4c) is arranged to house a main flame (7). It is one object to improve stability of the combustion process. According to the invention stability is achieved by a quarl, which is formed from a plurality of quarl sections (4a, 4b, 4c), wherein each quarl section (4a, 4b, 4c) has the configuration of the conical shell of a truncated cone and being distributed consecutively one after the other in the downstream direction of the burner (1), wherein a most narrow part of the shell of a downstream quarl section (4b) surrounds the widest part of the shell of the closest upstream quarl section (4a) and wherein an annular channel (10, 11) for premixed air and fuel is arranged between two consecutive quarl sections (4a, 4b).",MILOSAVLJEVIC VLADIMIR (SE),SIEMENS AG (DE); MILOSAVLJEVIC VLADIMIR (SE),2009-03-26
