Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
DE102022134117A1,DE,2023-06-22,ABGASGEHALT,"Die vorliegende Anmeldung offenbart ein Verfahren (1050) zur Bestimmung eines oder mehrerer Kraftstoffmerkmale eines Flugkraftstoffs (F), der für den Antrieb eines Gasturbinentriebwerks (10) eines Luftfahrzeugs (1) geeignet ist. Das Verfahren umfasst: Bestimmen (1051) eines oder mehrerer Abgasinhaltsparameter während des Betriebs des Gasturbinentriebwerks durch Durchführen (1052) einer Sensormessung an einem Abgas des Gasturbinentriebwerks (10); und Bestimmen (1053) eines oder mehrerer Kraftstoffmerkmale des Kraftstoffs auf der Grundlage des einen oder der mehreren Abgasparameter. Ebenfalls offenbart werden ein System (150) zur Bestimmung von Kraftstoffmerkmalen, ein Verfahren (1065) zum Betreiben eines Luftfahrzeugs und ein Luftfahrzeug (1).",SWANN PETER (GB); BEAVEN DAVID M (GB); BEMMENT CRAIG W (GB); HOBDAY ALASTAIR G (GB); KEELER BENJAMIN J (GB); MADDEN CHRISTOPHER P (GB); YATES MARTIN K (GB),"ROLLS ROYCE PLC (London, GB)",2022-12-20
EP2467457A1,EP,2012-06-27,LUBRICATING COMPOSITION CONTAINING AN ANTIWEAR AGENT,"The invention provides a lubricating composition containing an oil of lubricating viscosity and a compound obtained/obtainable by a process comprising reacting a glycolic acid, a 2-halo-acetic acid, or a lactic acid, or an alkali or alkaline metal salts thereof, (typically glycolic acid or a 2-halo-acetic acid) with at least one member selected from the group consisting of an amine, an alcohol, and an aminoalcohol. The invention further relates to the use of the lubricating composition in an internal combustion engine.",BARTON WILLIAM R S (GB); CRAWLEY SETH L (US); MOSIER PATRICK E (US); GIESELMAN MATTHEW D (US); SACCOMANDO DANIEL J (GB),LUBRIZOL CORP (US),2010-08-16
WO/2023/062622A1,WIPO,2023-04-20,AIRCRAFT,"The present invention relates to a transport vehicle, comprising an unmanned aerial vehicle (UAV) configured to operate autonomously; a compartment sized and shaped to hold at least one passenger; and an adaptor arm for selectively interconnecting the UAV and the compartment, so that the compartment is carried below the UAV.",MICHEL DAVID PHILIPPE (DE),MICHEL DAVID PHILIPPE (DE),2022-10-03
WO/2012/088476A2,WIPO,2012-06-28,IN-SITU KEROGEN CONVERSION AND RECOVERY,"Disclosed herein are methods for extracting a kerogen-based product from subsurface (oil) shale formations. These methods rely on chemically modifying the shale-bound kerogen using a chemical oxidant so as to render it mobile. The oxidant is provided to a formation fluid in contact with the kerogen in the subsurface shale. An alkaline material is also provided to the formation fluid to mobilize organic acids which are produced during oxidation of the kerogen. A mobile kerogen-based product which includes the organic acids is withdrawn from the subsurface shale formation and further processed to isolate the organic acids contained therein. An exemplary method for isolating the acids includes treating the mobile kerogen- based product such that at least a portion of the organic acids form a separate phase from the mobile kerogen-based product. The organic acids may further be extracted from the mobile kerogen-based product using an organic extraction fluid. The isolated organic acids can be upgraded by a reaction process that make the products suitable as refinery feedstocks, fuel or lubricant blendstocks, reaction intermediates, chemical feedstocks, or chemical intermediate blendstocks.",WIGAND MARCUS (US); CARLSON ROBERT M (US); LOONEY MARK (US),CHEVRON USA INC (US); WIGAND MARCUS (US); CARLSON ROBERT M (US); LOONEY MARK (US),2011-12-22
WO/2022/084436A1,WIPO,2022-04-28,GASIFICATION PROCESS,"The present invention provides a process for the manufacture of a useful product from synthesis gas having a desired hydrogen to carbon monoxide molar ratio comprising:gasifying a first carbonaceous feedstock comprising waste materials and/or biomass in a gasification zone to produce a first synthesis gas; optionally partially oxidising the first synthesis gas in a partial oxidation zone to generate oxidised synthesis gas;;reforming a second carbonaceous feedstock to produce a second synthesis gas, the second synthesis gas having a different hydrogen to carbon ratio from that of the first raw synthesis gas; combining at least a portion of the first synthesis gas and at least a portion of the second synthesis gas in an amount to achieve the desired hydrogen to carbon molar ratio and to generate a combined synthesis gas and subjecting at least part of the combined synthesis gas to a conversion process effective to produce the useful product. The reforming step enables the conventional water gas shift reaction to be dispensed with.",GREAGER IVAN PHILIP (US); HARRIS ROGER ALLEN (US); HAVENGA RUDOLPH (GB); KING NEIL ALEXANDER (GB),VELOCYS TECH LIMITED (GB),2021-10-21
WO/1993/011952A1,WIPO,1993-06-24,AMPHIBIAN TRANSPORTATION MEANS,"An amphibian transportation means comprises a carrying platform (1) and a base (2) with openings (3), forming a receiver (5) connected to the gas-air main of a gas-turbine engine (6) and to the air cushion (8) formed by the base (2) and by a flexible skirt (7). Inside the receiver (5) above the openings (3) of the base (2) are coaxially mounted profiled elements (9) rigidly interconnected so as to form a beam (11). The edges (10) of the profiled elements (9) and the edges (4) of the openings (3) are mutually spaced by a desired distance (14). On the concave surface of the profiled elements (9) may be mounted nozzles (12) connected to the fuel feeding system (13) of the gas-turbine engine (6).",PUSHKIN ROSTISLAV MIKHAILOVICH (RU); ERMISHIN ALEXANDR VIKTOROVICH (RU); TARASOV ALEXANDR IVANOVICH (RU); MASS ALEXANDR MIKHAILOVICH (RU); SOROKIN VALERY NIKOLAEVICH (RU); SCHUKIN LEV NIKOLAEVICH (RU),PUSHKIN ROSTISLAV MIKHAILOVICH (RU); ERMISHIN ALEXANDR VIKTOROVICH (RU); TARASOV ALEXANDR IVANOVICH (RU); MASS ALEXANDR MIKHAILOVICH (RU); SOROKIN VALERY NIKOLAEVICH (RU); SCHUKIN LEV NIKOLAEVICH (RU),1992-03-31
WO/2022/078915A1,WIPO,2022-04-21,GASIFICATION PROCESS,"The present invention provides integrated process for the production of a useful liquid hydrocarbon product comprising the steps of: feeding a gasification zone with an oxygen-containing feed and a first carbonaceous feedstock comprising waste materials and/or biomass, gasifying the first carbonaceous feedstock in the gasification zone to produce a first synthesis gas, partially oxidising the first synthesis gas in a partial oxidation zone to generate partially oxidised synthesis gas, combining at least a portion of the first synthesis gas and/or the partially oxidised synthesis gas and at least a portion of electrolysis hydrogen obtained from an electrolyser in an amount to achieve the desired hydrogen to carbon monoxide molar ratio of from about 1.5:1 to about 2.5:1, which is higher than that of the first synthesis gas, and to generate a blended synthesis gas, wherein the electrolyser operates using green electricity; and subjecting at least a portion of the blended synthesis gas to a conversion process effective to produce the liquid hydrocarbon product.",GREAGER IVAN (US); HARRIS ROGER (US); HAVENGA RUDOLPH (GB); KING NEIL ALEXANDER (GB),VELOCYS TECH LTD (GB),2021-10-08
WO/2021/228774A1,WIPO,2021-11-18,PROCESS AND APPARATUS,"The present invention concerns a process for the manufacture of one or more useful products comprising: gasifying a carbonaceous feedstock comprising waste materials and/or biomass in a gasification zone to generate a raw synthesis gas; optionally partially oxidising the raw synthesis gas in a partial oxidation zone to generate partially oxidised raw synthesis gas; supplying at least a portion of the, optionally partially oxidised, raw synthesis gas to a clean-up zone to remove contaminants and provide a clean synthesis gas; optionally shifting the hydrogen to carbon monoxide ratio of the clean synthesis gas in a hydrogen to carbon monoxide ratio shifting zone to generate shifted clean synthesis gas; supplying the, optionally shifted, clean synthesis gas to a first further reaction train to generate at least one first useful product and a tailgas; optionally upgrading the first useful product in a second further reaction train to generate a second useful product and a light gas fraction; and diverting selectively on demand a portion of at least one of the carbonaceous feedstock, the clean synthesis gas, the tailgas and the light gas fraction to heat or power generation within the process, in response to external factors to control the carbon intensity of the overall process and enable GHG emission savings.",GREAGER IVAN PHILIP (US); HARRIS ROGER ALLEN (US); KING NEIL ALEXANDER (GB); DESHMUKH SOUMITRA R (US); QIU ZHEYAN (US),VELOCYS TECH LIMITED (GB),2021-05-10
WO/2022/260555A1,WIPO,2022-12-15,AIRCRAFT,"The invention relates to the field of aviation, and more particularly to rotary wing aircraft structures. The present aircraft comprises a fuselage, airfoils, a tail assembly, a pusher propeller disposed on the tail end of the fuselage, or a puller propeller on the nose end of the fuselage, or a jet engine. Pusher propellers are supported on elements of the airframe so that the propellers are disposed beneath the airframe of the aircraft. Furthermore, the planes of rotation of said propellers are situated lower than the airframe of the aircraft and are oriented horizontally. The propellers disposed beneath the airframe of the aircraft are spaced apart from the surface of the elements of the airframe on which they are supported by a distance of not less than 15% of the diameter of the propellers. This provides for high weight and energy efficiency.",SOLODOVNIKOV IURII VLADIMIROVICH (UA),OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU FLYTUSE (RU),2022-06-01
WO/2005/065071A3,WIPO,2009-04-02,SUPERSONIC AIRCRAFT,"An aircraft (100) designed for transonic speed comprises an airfoil (102), a
nacelle (122), an engine (116), and an inverted V-tail (114). The nacelle is mounted
on the lower aerodynamic airfoil surface and behind the trailing edge of the airfoil.
The engine is enclosed within and structurally supported by the nacelle. The
inverted-V tail is coupled to the airfoil at a position on the upper aerodynamic
surface directly across the airfoil surface so that the inverted-V tail structurally
supports the nacelle and engine in combination with support from the airfoil.",LEE HOWARD (US); MORGENSTERN JOHN M (US); ANDERSON THOMAS J (US); FRANKLIN WALTER M III (US); WILKINSON TODD (US); PEDERSON DARRELL (US); SMITH CHRISTOPHER J R (US); AMINPOUR HOSSEIN (US),SUPERSONIC AEROSPACE INT (US); LEE HOWARD (US); MORGENSTERN JOHN M (US); ANDERSON THOMAS J (US); FRANKLIN WALTER M III (US); WILKINSON TODD (US); PEDERSON DARRELL (US); SMITH CHRISTOPHER J R (US); AMINPOUR HOSSEIN (US),2004-08-25
