Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP2002039534A,JP,2002-02-06,GAS TURBINE COMBUSTOR HAVING DOME-TO-LINE JOINT,"PROBLEM TO BE SOLVED: To provide a streamline-formed dome liner in which there is no structure in front of a dome plate whatsoever.SOLUTION: A joint to couple the dome plate to a combustor liner contains a first flange formed on the dome plate and a second flange formed on the liner. A mounting ring in which a groove part is formed is provided; the first flange is situated in the groove; and the second flange is engaged with the mounting ring. A retainer is fixed at the mounting ring and engaging with the second flange.COPYRIGHT: (C)2002,JPO",AICHOLTZ JOHN CHARLES,GEN ELECTRIC,2001-05-11
WO/2001/061245A1,WIPO,2001-08-23,DIFFUSION BURNER WITH NEGATIVE PRESSURE COMBUSTION CHAMBER,There is disclosed a burner (2) for use in domestic appliances requiring a hot gaseous stream during operation. The burner consists of a pair of concentric cylindrical tubes one substantially inside the other. The inner tube (4) is provided with a series of perforations (10) in rows around its surface and aligned axially (50) with the tube. An annular passage is defined between the inner and outer tube through which air is drawn by a fan downstream of the tubes and a gas injector (6) is disposed at an inlet end of the burner which delivers a combustible gas into the inner tube.,BROWN RYAN (GB); WOOD GRAHAM (GB),BRAY BURNERS LTD (GB); BROWN RYAN (GB); WOOD GRAHAM (GB),2001-02-15
WO/2017/132515A2,WIPO,2017-08-03,ALMOST LIGHTER THAN AIR VEHICLE,"Some embodiments described herein relate to an aircraft that includes a support frame, at least one gas compartment, and multiple propulsion units. The gas compartment(s) can be coupled to the support frame and configured to contain a gas having a gas density less than the density of atmospheric air surrounding the aircraft during operation. Similarly stated, the gas-filled gas compartment(s) can produce a gas lifting force on the support frame. The propulsion units can each be configured to selectively produce a propulsive force with a thrust vector with a non-zero component along a vertical axis of the support frame. The maximum gross weight of the aircraft can be greater than either the gas lifting force of the maximum vertical propulsion force and less than the sum of the gas lifting force and the maximum vertical propulsion force.",HARPER BRENT (US); MACKIE THOMAS ROCK (US); HOLZMANN TIMOTHY (US),HARPER BRENT (US); MACKIE THOMAS ROCK (US); HOLZMANN TIMOTHY (US),2017-01-27
WO/2022/173709A1,WIPO,2022-08-18,EXPENDABLE MULTISTAGE PRESSURE-FED ABLATIVE-COOLING LOW TOXICITY LAUNCH VEHICLE,"An expendable launch vehicle is provided using pressure-fed liquid propellant fixed steering ablatively-cooled rocket engines. The vehicle is manufactured minimizing toxic or exotic metals and maximizing the use of conventional, inexpensive composites and 3D printed parts. Fuselage, fairing stage shells, adapters, propellant tanks, and even engine combustion chambers are unified for all stages, are ablatively cooled, and, like the fairing, integral propellant tanks and adapters, are made of composites or 3D printed parts. Using non-toxic materials with non-toxic by-products, and non-toxic fabrication methods, using mostly non-metallic components allows for an environmentally neutral design.",CARPENTER MICHAEL (US); PARNOWSKI ALEKSEI (UA); GRECHULHIN MYKHAILO (UA),FAKAS SERGII (UA); CARPENTER MICHAEL (US); PARNOWSKI ALEKSEI (UA); GRECHULHIN MYKHAILO (UA),2022-02-08
JP2007332360A,JP,2007-12-27,GASOLINE COMPOSITION,"PROBLEM TO BE SOLVED: To provide a gasoline composition which can be obtained from a biomass such as an animal/vegetable oil and fat, and is excellent in ability to clean effluent gas, fuel efficiency, and working efficiency.  SOLUTION: The gasoline composition comprises a base material that comprises all or a part of a distillate fraction having a distillation temperature of 25°C-220°C, has an octane value of 96.0 or more according to the research method, has a sulfur content of 10 ppm by mass or less, and is free from lead, wherein the distillate fraction is obtained by hydrogenating to decompose a biomass-containing oil.  COPYRIGHT: (C)2008,JPO&INPIT",KANEKO TAKASHI; IKI SUGURU,NIPPON OIL CORP,2007-05-15
JP2007308574A,JP,2007-11-29,GASOLINE COMPOSITION,"PROBLEM TO BE SOLVED: To provide gasoline from biomass such as animal and vegetable oils and fats, the gasoline being excellent in exhaust gas cleaning performance, fuel consumption performance, and driving performance.  SOLUTION: An unleaded gasoline composition is obtained by hydrocracking of a processed oil containing biomass. The gasoline composition contains a base material composed of all or part of the fraction of a distillation temperature range of 25-220°C, has a research octane number of 89.0 or more and less than 96.0, and has a sulfur content of 10 mass ppm or less.  COPYRIGHT: (C)2008,JPO&INPIT",KANEKO TAKASHI; IKI SUGURU,NIPPON OIL CORP,2006-05-17
WO/2022/173709A9,WIPO,2023-12-28,EXPENDABLE MULTISTAGE PRESSURE-FED ABLATIVE-COOLING LOW TOXICITY LAUNCH VEHICLE,"An expendable launch vehicle is provided using pressure-fed liquid propellant fixed steering ablatively-cooled rocket engines. The vehicle is manufactured minimizing toxic or exotic metals and maximizing the use of conventional, inexpensive composites and 3D printed parts. Fuselage, fairing stage shells, adapters, propellant tanks, and even engine combustion chambers are unified for all stages, are ablatively cooled, and, like the fairing, integral propellant tanks and adapters, are made of composites or 3D printed parts. Using non-toxic materials with non-toxic by-products, and non-toxic fabrication methods, using mostly non-metallic components allows for an environmentally neutral design.",FAKAS SERGII (UA); CARPENTER MICHAEL (US); PARNOWSKI ALEKSEI (UA); GRECHULHIN MYKHAILO (UA),TARDIGRADE SPACE SYSTEMS LLC (US),2022-02-08
EP2670723A1,EP,2013-12-11,PROCESS FOR THE PRODUCTION OF PARAFFINIC HYDROCARBONS,"Reaction catalysts and supports as disclosed herein are utilized in a process for converting carboxylic acids, which are derived from molecules found in various feedstocks of biological origin as well as various byproducts of industrial processes, to linear paraffinic hydrocarbons, the latter being capable of use in various applications, including as an alternative source of fuel.",RATNASAMY PAUL (IN),UNIV LOUISVILLE RES FOUND (US),2012-02-03
JPH02202364A,JP,1990-08-10,METHOD OF SELECTING CURRENT LIMITATION RESISTANCE VALINE IN HIGH VOLTAGE CIRCUIT,"PURPOSE: To sustain the static current at a critical level or below by measuring the highest and lowest input voltages to a Cockcroft-Walton circuit and selecting the optimal value of series current limit resistance through stages for determining the number of voltage amplification stage and the like. CONSTITUTION: A Cockcroft-Walton circuit of such type as being used in an electrostatic spray is employed. The circuit comprises a plurality of capacitors C1, C2,..., C10 and diodes D1, D2,..., D10 connected in N stages and constituting a voltage doubler. An output resistor RS is also included. An optimal value of the output resistor RS is selected under predetermined set operating conditions. More specifically, the highest and lowest voltages are measured, the number of voltage amplification stages is measured and the short circuit current passing through a high voltage circuit is measured in order to select a series resistance RS optimal for the circuit. According to the arrangement, static current level can be sustained lower than a predetermined critical level.",DEERU AARU HEMINGU,GRACO INC,1989-12-08
WO/2023/222903A2,WIPO,2023-11-23,HYDROGEN PLASMOLYSIS,"The present invention relates to a method for the combined electrolytic and thermal production of hydrogen gas, the method comprising: (i) providing a plasma treatment unit having a plasma treatment chamber comprising first and second electrodes, and a first gas outlet in fluid communication with said plasma treatment chamber; wherein a base portion of the plasma treatment chamber forms a reservoir of an aqueous electrolyte; wherein the first electrode is comprised within a plasma torch whereby the plasma torch is arranged at a distance above a surface of the reservoir; and wherein the second electrode is submerged in the aqueous electrolyte; (ii) establishing a DC electric potential between the first and second electrodes whilst providing a flow of non-oxidising ionisable gas between the first electrode and the surface of the reservoir to generate and sustain a plasma arc therebetween, thereby producing hydrogen gas in the plasma treatment chamber; and (iii) recovering the hydrogen gas via the first gas outlet. The present invention also relates to a plasma treatment unit.",DEEGAN DAVID EDWARD (GB); TANG YIRAN (GB); CHARMAN NEIL EDWARD SETH (GB); KEELEY-LOPEZ PETER MICHAEL (GB),TETRONICS TECH LIMITED (GB),2023-05-19
JP2014136573A,JP,2014-07-28,CYCLIC TYPE THRUST CHANGE TYPE CLIMATE ADAPTATION CRAFT,"PROBLEM TO BE SOLVED: To provide a climate adaptation craft which reduces generation of sound noise and discharge of dust, CO2 and NOX and the like from a propulsive power and to provide a flight pattern for the craft.SOLUTION: A cyclic type thrust system is introduced and as the flight pattern, flight in a phugoid mode is performed. In a propeller plane, a cyclic type power device drives a fly wheel type propeller. In a jet plane, fuel is supplied in a cyclic manner to a propulsive power device. In an electric plane, a storage battery supplies power to a motor for driving a fly wheel type propeller in a cyclic manner. Cycle period of these planes is determined so as to continue phugoid mode motion. A plane shape is formed into a shape which facilitates phugoid mode, namely, a wing profile with large lift inclination, and a wing flat shape or a main wing oval shape with large lift inclination, lift-drag ratio, and aspect ratio. These kinds of climate adaptation technique can be applied to planes of a single engine plane and a two-motored plane, and a plane having more engines.",AMANO KANICHI; NASUNO YUKIKO,AMANO KANICHI; NASUNO YUKIKO,2013-01-18
