Assignee,Inventor Name,Document Type,Publication Year,Filing Year,Document Count
"2020 POWER GENERATION LTD (Shoreham by Sea West Sussex BN43 5RD, GB)",COATES NICHOLAS RICHARD (GB),EP,2017.0,2010.0,1
AB Industry Osaka salmon yukichu,AB Industry Osaka salmon yukichu,JP,1995.0,1993.0,1
AC AERONAUTICAL LTD (GB),HIGGS ANDREW (JP),WIPO,2013.0,2013.0,2
"ACCELERGY CORP (Houston, TX 77002, US)",FIATO ROCCO A (US); BAUMAN RICHARD F (US); ZACZEPINSKI SIOMA (US); BISIO ATTILIO (US),EP,2018.0,2011.0,1
"ACCELERGY CORP (Houston, TX 77007, US)",FIATO ROCCO A (US); BAUMAN RICHARD F (US); ZACZEPINSKI SIOMA (US); BISIO ATTILIO (US),EP,2019.0,2011.0,1
"ACCELERGY CORP (Houston, TX 77008, US); SHANGHAI ADVANCED RES INST CAS (Pudong, Shanghai 201203, CN)",FIATO ROCCO A (US); SUN YUHAN (CN); ALLEN MARK (US); ZHAO QUANYU (CN),EP,2019.0,2014.0,1
ACCELERGY CORP (US),FIATO ROCCO A (US); BAUMAN RICHARD F (US); ZACZEPINSKI SIOMA (US); BISIO ATTILIO (US),EP,2013.0,2011.0,1
ACCELERGY CORP (US); FIATO ROCCO A (US); BAUMAN RICHARD F (US); ZACZEPINSKI SIOMA (US); BISIO ATTILIO (US),FIATO ROCCO A (US); BAUMAN RICHARD F (US); ZACZEPINSKI SIOMA (US); BISIO ATTILIO (US),WIPO,2012.0,2011.0,1
ACCELERGY CORP (US); SHANGHAI ADVANCED RES INST CAS (CN),FIATO ROCCO A (US); SUN YUHAN (CN); ALLEN MARK (US); ZHAO QUANYU (CN),EP,2016.0,2014.0,1
ACCELERGY CORP (US); SHANGHAI ADVANCED RES INST OF THE CHINESE ACADEMY OF SCIENCE (CN),FIATO ROCCO A (US); SUN YUHAN (CN); ALLEN MARK (US); ZHAO QUANYU (CN),WIPO,2014.0,2014.0,1
ACCELERGY CORPORATION; SHANGHAI ADVANCED RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF SCIENCE,Rocco A. Fearto; Yuhan Sun; Mark Allen; Quan Yu Jiao,JP,2018.0,2014.0,1
ACHLEITNER JOHANNES (AT),ACHLEITNER JOHANNES (AT),WIPO,2023.0,2021.0,1
ACONDICIONAMIENTO TARRASENSE (ES),MOLINA PÉREZ LAURA (ES); BAUTISTA PÉREZ LORENZO (ES); BOSCH GALLEGO MONTSERRAT (ES); SERRET ANDREU ANNA (ES); CRESPO SOLANA EULALIA (ES); AUBOUY LAURENT (ES),WIPO,2016.0,2016.0,1
ADAMS DALE (US),ADAMS DALE (US),WIPO,2015.0,2014.0,1
ADAMS DALE (US),ADAMS DALE (US),WIPO,2017.0,2017.0,1
"ADVANCED FIBREOPTIC ENG LTD (Carterton, Oxfordshire OX18 3FX, GB); BOEING CO (Chicago, IL 60606-2016, US)",ZANOLA MARCO (GB); JOHNSON MARK (GB),EP,2020.0,2019.0,1
"ADVANCED FIBREOPTIC ENG LTD (Carterton, Oxfordshire OX18 3FX, GB); BOEING CO (Chicago, IL 60606-2016, US)",ZANOLA MARCO (GB); JOHNSON MARK (GB),EP,2022.0,2019.0,1
AEROGEL TECH LLC (US); STEINER STEPHEN A III (US),STEINER STEPHEN (US); NELSON RYAN (US); BUCKWALTER MORIAH (US); GRIFFIN JUSTIN (US),WIPO,2021.0,2020.0,1
"AEROJET GENERAL CO (Rancho Cordova, CA 95670, US)",BULMAN MELVIN J (US),EP,2013.0,2007.0,1
AEROJET GENERAL CO (US); BULMAN MELVIN J (US),BULMAN MELVIN J (US),WIPO,2008.0,2007.0,2
"AEROVIRONMENT, INC.","Matsuzesky, Thaddeus, Benjamin; Kor, Roland, Mitchell; Berman, Scott, Garrett; Abdul Rahim, Mujahide",JP,2013.0,2010.0,1
AFTON CHEMICAL CORP,MATHUR NARESH C; PASSUT CHARLES A; ESCHE CARL K JR,JP,2009.0,2008.0,1
"AFTON CHEMICAL CORP (Richmond, Virginia 23219, US)",BENNETT CARL W (US); DEVLIN MARK T (US),EP,2017.0,2017.0,1
"AFTON CHEMICAL CORP (Richmond, Virginia 23219, US)",BENNETT CARL W (US); DEVLIN MARK T (US),EP,2024.0,2017.0,1
AFTON CHEMICAL INTANGIBLES LLC (US),ARADI ALLEN A (US); ADAMS MICHAEL WAYNE (US); FACTOR STEPHEN ALAN (US),EP,2010.0,2003.0,1
AIR COMPANY HOLDINGS INC (US),SHEEHAN STAFFORD W (US); CHEN CHI (US); GAREDEW-BALLARD MAHLET (US); LUTHRIA NEVA (US); SHAH MIHIR R (US); WU QIYUAN (US),WIPO,2023.0,2023.0,1
AIR COMPANY HOLDINGS INC (US),SHEEHAN STAFFORD W (US); CHEN CHI (US); STEINKE NICHOLAS J (US),WIPO,2022.0,2022.0,1
"AIRBUS DEFENCE & SPACE GMBH (85521 Ottobrunn, DE)",HIEBL MANFRED (DE); PONGRATZ HANS WOLFGANG (DE),EP,2018.0,2012.0,1
"AIRBUS HELICOPTERS DEUTSCHLAND GMBH (86609 Donauwörth, DE)",WELLHAUSEN CHRISTIAN (NL),EP,2017.0,2015.0,1
AIRBUS HELICOPTERS DEUTSCHLAND GMBH (DE),GÜNTHER SEBASTIAN (DE); BEBESEL MARIUS (DE); MORES SEBASTIAN (DE); JOLY LAURENE (DE),WIPO,2014.0,2014.0,1
"AIRBUS OPERATIONS GMBH (21129 Hamburg, DE)",BOGIATZIS CHRISTOS (DE),EP,2017.0,2010.0,1
AIRBUS OPERATIONS GMBH (DE),BROMBACH JOHANNES (DE); SCHULZ DETLEF (DE),EP,2014.0,2012.0,1
AIRBUS OPERATIONS GMBH (DE),BROMBACH JOHANNES (DE); SCHULZ DETLEF (DE),EP,2015.0,2012.0,1
AIRBUS OPERATIONS GMBH (DE),HOFFJANN CLAUS (DE); SCHULDZIG HANSGEORG (DE); PFAFFEROTT TORGE (DE); FRAHM LARS (DE); NICKEL LARS (DE),EP,2014.0,2005.0,1
"AIRBUS OPERATIONS LTD (Bristol BS34 7PA, GB)",THORNER CALLUM (GB); JAMES DYLAN (GB); SAVIN DAVID (GB),EP,2023.0,2023.0,1
"AIRBUS OPERATIONS LTD (Bristol BS34 7PA, GB); AIRBUS OPERATIONS GMBH (21129 Hamburg, DE)",PHILLIPS SAMUEL (GB); BECKS RALF (DE),EP,2023.0,2022.0,1
AIRBUS OPERATIONS SL (ES); LOBO BARROS ABEL (ES); BAJO GONZALEZ JESUS VICENTE (ES); LOZANO GARCIA JOSE LUIS (ES); PINTOR ARCHILLA ANTONIO FRANCI (ES); RODRIGUEZ BODAS JESUS (ES),LOBO BARROS ABEL (ES); BAJO GONZALEZ JESUS VICENTE (ES); LOZANO GARCIA JOSE LUIS (ES); PINTOR ARCHILLA ANTONIO FRANCISCO (ES); RODRIGUEZ BODAS JESUS (ES),WIPO,2010.0,2009.0,1
"AIRBUS SAS (31700 Blangnac, FR)",CARRETERO BENIGNOS JORGE A (DE); MOLANO REMBIASZ JORGE (DE),EP,2023.0,2021.0,1
ALCALDE UNDURRAGA RODRIGO JOSE (CL),ALCALDE UNDURRAGA RODRIGO JOSE (CL),WIPO,2018.0,2016.0,1
ALEKSANDROV OLEG ALEKSANDROVICH (RU),ALEKSANDROV OLEG ALEKSANDROVICH (RU),WIPO,2014.0,2013.0,1
ALI NAGHI JAMALI MAZLAGHANI (DE); JAMALI MAZLAGHANI ALI NAGHI (DE),JAMALI MAZLAGHANI ALI NAGHI (IR),WIPO,2017.0,2017.0,1
ALLIANCE SUSTAINABLE ENERGY (US),VARDON DEREK RICHARD (US),WIPO,2023.0,2022.0,1
ALLIANCE SUSTAINABLE ENERGY (US),VARDON DEREK RICHARD (US); HUQ NABILA ASEM (US); CORTRIGHT RANDY D (US); ABDULLAH ZIA (US); HAFENSTINE GLENN RICHARD (US); HUO XIANGCHEN (US); NGUYEN HUONG THI THANH (US),WIPO,2022.0,2021.0,1
ALLIANCE SUSTAINABLE ENERGY (US); MASSACHUSETTS INST TECHNOLOGY (US),BECKHAM GREGG TYLER (US); STONE MICHAEL L (US); ROMAN YURIY (US); WEBBER MATTHEW S (US),WIPO,2024.0,2023.0,1
ALLIED SIGNAL INC (US),STEWART DONALD B JR C O ALLIED (US),DE,1993.0,1989.0,1
ALLIED SIGNAL INC (US),WEIGAND FRANCIS K (US); KOERNER MICHAEL S (US); NESS RONALD J (US),DE,1993.0,1987.0,1
ALLIED-SIGNAL INC. (A DELAWARE CORPORATION),"WEIGAND, FRANCIS K.; KOERNER, MICHAEL S.; NESS, RONALD J.",EP,1992.0,1987.0,1
ALPHA PORTFOLIO LLC (US),FISCHER ADDISON (US); NAGEL CHRISTOPHER (US),WIPO,2024.0,2022.0,1
ALSET TECHNOLOGY LLC,Jose Ignacio Garind Cavello; Jose Alvarez Lopez,JP,2009.0,2007.0,1
ALUMINIUM OFFSHORE PTE LTD (SG),UPPAL NEELESH (SG),WIPO,2017.0,2016.0,1
"ALUMINIUM OFFSHORE PTE LTD (Singapore 609930, SG)",UPPAL NEELESH (SG),EP,2019.0,2016.0,1
AMANO KANICHI; NASUNO YUKIKO,AMANO KANICHI; NASUNO YUKIKO,JP,2014.0,2013.0,1
AMERADA HESS CORP (US); EHRLICH ROBERT T (US),EHRLICH ROBERT T (US),WIPO,2000.0,1999.0,2
AMERICAN SPACECRAFT CORP (US); DECKER RUSSELL H (US),DECKER RUSSELL H (US),WIPO,2007.0,2006.0,2
"APUS AVIATION ENG GMBH (15344 Strausberg, DE)",ALBANI CHRISTOPH (DE); SEMSCH MARTIN (DE); ZIEGAN STEFAN (DE),EP,2023.0,2021.0,1
"ARLANXEO DEUTSCHLAND GMBH (41540 Dormagen, DE); ARLANXEO CANADA INC (Sarnia, ON N7T 7M2, CA)",LIEBER SUSANNA (DE); KULBABA KEVIN (CA),EP,2020.0,2018.0,1
ARLANXEO DEUTSCHLAND GMBH (DE); ARLANXEO CANADA INC (CA),LIEBER SUSANNA (DE); KULBABA KEVIN (DE),WIPO,2019.0,2018.0,1
"ASS OCTEL (Ellesmere Port Cheshire CH65 4HF, GB)",MULQUEEN SIMON CHRISTOPHER (GB); VINCENT MATTHEW (GB); COOK STEPHEN LEONARD (GB),EP,2006.0,2000.0,1
