Year,Count
1929,1
1931,1
1932,2
1933,1
1935,2
1936,1
1937,1
1938,1
1939,2
1940,5
1941,1
1942,3
1943,7
1944,2
1945,3
1946,1
1950,3
1953,1
1955,1
1956,1
1959,2
1965,1
1966,1
1967,1
1968,2
1969,2
1971,2
1972,4
1973,6
1974,2
1975,2
1976,8
1977,4
1978,3
1979,1
1980,1
1981,4
1982,7
1983,3
1984,5
1985,10
1986,3
1987,10
1988,7
1989,11
1990,12
1991,20
1992,18
1993,21
1994,29
1995,16
1996,19
1997,29
1998,30
1999,29
2000,37
2001,41
2002,52
2003,55
2004,80
2005,57
2006,86
2007,95
2008,79
2009,115
2010,126
2011,173
2012,132
2013,152
2014,190
2015,158
2016,187
2017,150
2018,165
2019,202
2020,150
2021,252
2022,238
2023,157
